id,phrase,classes
1,emphasis:sorri:colleagu:nielson:honour:member:concern:develop:question:know:import:tri:ensur:agreement:south:africa:surviv,reise
2,univers:servic:fulfil:social:retain:area:monopoli:enabl:balanc:budget,aufgaben
3,indic:light:new:inform:commiss:undertak:case:necessari:arrang:zootechn:inspect:requir,tierzüchterische
4,kind:soon:believ:import:resolut:tabl:basi:liber:text:amend:includ:effect,delegation
5,hope:solv:problem:fund:observ,beobachtermission
6,type:plan:end:month:specif:intend:hold:discuss:moroccan:intermediari,studienreise
7,testifi:incred:effici:work:kfor:unmik:unmik:polic,un-mission
8,seen:effici:conflict-prevent:exercis,mission
9,convinc:union:right:profound:right:send:long:advanc:order:bring:element:calm:campaign,beobachtergruppe
10,outlin:strategi:soon:condit:met:member:know:assess:area:exact:ground:soon:possibl,bewertungsmission
11,transpar:impli:member:state:defin:clear:public:servic:financi:transpar:guarante:public:servic:oper:carri:pure:commerci:activ:separ:account:kept,aufgabe
12,member:state:respons:day-to-day:enforc:communiti:legisl:food:veterinari:offic:directorate-gener:undertak:specif:control:inspect:check:member:state:appli:communiti:legisl:effect:uniform:manner,kontrollbesuch
13,troop:given:clear:finit:realist:exit:strategi:start,auftrag
14,opportun:code:effici:ensur:young:soldier:engag:peac:confront:occasion:arm:export:european:union,friedensmission
15,case:iraq:visit:member:contest:embargo:practic:women:circumst:polit:militari:object:human:life:sacrif:innoc:children:month:polit:econom:strateg:area,mission
16,let:open:new:book:modern:european:public:servic:fulfil:constitut:role:proper:manner:readi:forthcom:enlarg:last:embrac:servic:provis:european:public:new:statement,mission
17,today:tell:failur,mission
18,understand:european:union:head:follow:polit:situat:countri:close,missionschef
19,confirm:given:unep:carri:collect:exampl:soil:water:veget:sampl:autumn:year,kontrollbesuch
20,fact-find:expert:sent:short:assess:need:identifi:area:pilot:technic:assist:project:pursu,entsenden
21,ought:read:report:human:right:decemb:new:year:eve,delegation
22,european:invest:bank:non-profit-mak:member:state:govern:decid:obtain:econom:benefit:contribut:balanc:develop:european:communiti:grant:medium:long-term:credit:guarante:invest:project:poorest:region:foster:econom:social:cohes,aufgabe
23,commiss:want:cooper:fulli:parliament:respect:integr:parliamentari:deleg:wish:european:union:elect:observ,wahlbeobachtungsmissionen
24,intend:ensur:spain:take:soon:possibl:necessari:differ:envoy,reise
25,simpli:ask:deadlin:set:parliament:agre:send:spanish:author,abordnung
26,sens:lead:tobacco:industri:reloc:manufactur:plant:countri:cigarett:intend:shall:achiev:loss:european:job,sendungsbewußtsein
27,conspicu:absenc:refer:whatsoev:fact:peac:area:jeopardi:unit:state:step:aggress:china:seen:nmd:new:defenc:philosophi:flight:spi:visit:dalai:lama:presid:taiwan,spionageflügen
28,meantim:commiss:deleg:particip:member:state:repres:hanoi:démarch:govern:vietnam:human:right:issu:regular:discuss:human:right:pursu:vietnames:author,eu-missionen
29,presidenti:elect:septemb:test:democrat:credenti:countri:close:touch:osce-odihr:discuss:desir:intern:elect:monitor,wahlbeobachtermission
30,european:union:head:belarus:recent:undertaken:studi:impact:chernobyl:public:health,eu-missionen
31,presid:observ:went:zimbabw:gahler,beobachtermission
32,spirit:exploratori:european:union:troika:led:deputi:prime:minist:minist:foreign:affair:loui:michel:visit:havana:august,sondierungsmission
33,union:period:dealt:problem:secur:russian:author:recent:commiss:offici:travel:chechnya:assess:current:situat:ground:union:troika:plan:visit:region:head:level,missionschef
34,second:principl:special,auftrag
35,ladi:gentlemen:believ:principl:special:understood:principl:evalu:repeat:talk:exclus:militari:carri:petersberg:task:humanitarian:peac:enforc:peacekeep:rescu,mission
36,difficulti:presid:includ:contribut:european:militari:capabl:defend:extern:terror:necessari:connect:main:prioriti:spanish:presid:fight:terror:current:develop:result:principl:evalu:undertak:prior:council:declar:refer:later,mission
37,compil:inform:troika:head:maintain:frequent:contact:repres:ngos:compet:author:kalamanov:kremlin:special:repres:human:right:chechnya:yastrzhembski:presidenti:spokesman,missionschef
38,went:take:offic:humanitarian:east:timor:autumn:second:region:talk:today,mission
39,week:general:affair:council:consid:appropri:await:result:secretari:powel:mention:moment:moment:say:option:remain:open,mission
40,head:great:drive:forc:hans-georg:wieck:given:thumbnail:descript:commit:observ:human:right:situat:administr:justic:belarus:legal:assist:affect:famili:report:process:intervent:case:violat:law:humanitarian:aid:victim:persecut:polit:ground:administr:crimin:penalti:develop:rang:cooper:polit:parti:form:coalit:parti:social:forc:observ:elect,leiter
41,turkish:govern:withdraw:object:arm:forc:european:union:nato:carri:joint,aufgaben
42,action:secur:council:threaten:bosnia:indic:serious:america:concern:import:possibl:prosecut:civilian:militari:leader:crime:commit:abroad:militari:personnel,einsatz
43,judgement:assist:afghanistan:unama:best:place:handl:delic:issu:support:key:role:afghan:human:right:commiss:take:futur:step,hilfsmission
44,avail:member:hous:report:head:jerusalem:expos:extent:simpl:straightforward:fabric,missionsleiter
45,russian:know:peacekeep,friedensmission
46,defenc:militaris:fight:terror:exampl:chang:current:concept:defenc:call:broader:concept:secur:includ:pre-empt:strike:see:hand:georg:bush:confus:member:state:intern:secur:defenc:polici,sicherheitsaufgabe
47,iron:comparison:presid:strong:criticis:elect:togo:octob:observ:chose:ignor:conclus:pakistan:oper:half:month,wahlbeobachtungsmission
48,took:elect:pakistan:led:cushnahan:grate:rigor:thorough:natur:work,beobachtermission
49,fact:parliament:main:group:ppe-d:pse:provid:mep,mission
50,presid:know:concern:matter:enabl:european:parliament:visit:côte:ivoir:end:year:presid:gbagbo:franc:west:african:develop:communiti:countri:request,mission
51,osc:allow:stay:aid:just:russian:kosovo,osze-mission
52,address:concern:emerg:regard:scope:object:european:union:militari,eu-militäreinsatzes
53,militari:cours:help:posit:develop:perman,militärmission
54,taken:conclud:mandat:european:union:cours:undertak:support:nato:cooper,mission
55,debat:possibl:desir:european:foreign:polici:macedonia:dismiss:insignific:mean:draw:undu:conclus,mission
56,presid:commission:militari:european:union:coincid:histor:moment:regret:say:possibl:destabilis:balkan:show:just:fragil:fabric,mission
57,think:two-month:period:request:european:communiti:initi:monitor:result:short,entsandt
58,preparatori:led:commiss:consist:expert:elect:repres:member:state:cambodia:januari:februari,mission
59,addit:europol:structur:work:method:field:defin:codecis:procedur:european:parliament:council,aufgaben
60,continu:exert:pressur:framework:polit:dialogu:level:especi:head:abuja:stress:nigeria:ensur:constitut:remain:suprem:law:countri,mission
61,send:hand:lightly-arm:soldier:describ:uganda:presid:museveni:constitut:worthless,mission
62,univers:servic:essenti:prerequisit:attempt:challeng:european:level:public:servic:defin:member:state,dienstleistungsaufgabe
63,deploy:elect:observ,wahlbeobachtungsmission
64,conveni:bowdleris:conclus:inconveni:tell:truth:experienc:observ:seen:ground:absolut:clear:occas:elect:observ:job:tell,wahlbeobachtungsmissionen
65,final:colleagu:erkki:liikanen:plan:present:communic:commerci:industri:polici:textil:cloth:sector:member:commiss:autumn:parliament:council:order:provid:parti:concern:clear:predict:coher:framework:enabl:plan:strategi:invest:activ,aufgabe
66,actual:fact:point:union:field:cover:wide:rang:differ:initi:measur:contain:report:head:public:statement,missionsleiter
67,presid:behalf:express:sympathi:victim:massacr:nasiriya:famili:european:arm:forc:engag:world:peac:combat:terror,friedensmission
68,sustain:constant:diplomat:took:seri:numer:ministeri:troika:africa,mission
69,peril:life:spent:year:particip:peac:draw:wide:experi:gain:troubl:spot:contin,einsatz
70,commiss:did:wait:establish:peac:support:facil:prepar:emerg:programm:support:african:union:peace-keep:burundi:avail:eur:million:african:burundi:keep:peac:ground,mission
71,sum:morn:debat:focus:central:issu:propos:key:area:concern:task:centr:possibl:extens:sphere:oper:composit:manag:board,mission
