id,phrase,classes
1,fact:decad:temperatur:risen:centuri,pendant
2,lay:concern:said:present:unit:transatlant:posit,solana
3,solana:war:kosovo:continu:crisi:serv:reveal:european:public:opinion:awar:defend:fundament:valu:gave:rise:european:union:world:longer:continu:sole:shoulder:presid:unit:state:america:come:share:burden:american:friend:constant:demand:europ:world:econom:power,reposer
4,fact:extrem:pyrene:suffer:satur:real:land:link:capac:iberian:peninsula:european:contin,reste
5,madam:presid:grate:lay:mrs:carolin:jackson:resolut:committe:environ:care:minut,carolin
6,help:job:great:deal:educ:work:happen:recent:liter:immur:separ:roma:sinti:inhabit:communiti:repeat,sinti
7,ask:quick:resum:complet:vote:ludford:report:agenda,autres
8,european:commiss:europe-by-satellit:servic:continu:support:make:avail:servic:independ:station:serbia:broadcast:inform:reach:region:encourag:exchang:programm,reste
9,refer:check:depart:need:carri:commission:bolkestein:question:burden:proof:accord:articl:sole:injur:parti,victime
10,left:succinct:concentr:present:report,reste
11,cours:year:say:certainti:veloc:maintain,reste
12,want:know:junior:doctor:countri:sort:superhuman:adequ:harm:health:patient,repos
13,posit:base:principl:free:fair:global:trade:shape:european:model:social:ecolog:market:economi:fundament:point:includ:european:framework:legisl,outre
14,tabl:technic:amend:amend:correct:transcript:error:like:confus:paragraph:inconsist:report,reste
15,know:group:spend:great:deal:think:money:extrem:rich:great:deal:money:money:need:budget:day:sure:end:meet:month,reste
16,support:resolut:help:draft,part
17,look:middl:east:world:confront:array:weapon:mass:destruct:suppli:develop:world:includ:european:union,reste
18,understand:speech:leak:member:parliament:disappear:mass:number,filtré
19,struggl:banish:fear:day:basqu:countri:spain:popular:civic:peac:backlash:tyranni:murder:terror,reste
20,opinion:support:dialogu:cooper:civil:societi:especi:women:organis:countri:prepar:join:european:famili:anticip:uniform:develop:follow:footstep:adopt:rational:europ,reste
21,far:hold:decis:oper:kosovo:serbia:press:urgenc:advanc:mere:formal:issu:certain:good:imag:communiti:present:world:polit:term,alléguant
22,attempt:establish:entir:uniform:legal:order:outermost:region:separ:communiti:territori:mainland:europ:thousand:kilometr:divid:island:region:difficult:condit:rais:capit:transport:prevent:general:rule:competit:region:appli,reste
23,endur:transfer:sovereignti:sooner:did:flag:chang:hong:kong:asia:hit:financi:crisi,reste
24,dread:storm:flood:ravag:europ:world:recent:month:wake-up,monde
25,plight:member:nation:leagu:democraci:hard:better,autres
26,isra:agre:opinion:poll:vote:intent:absolut:major:accept:idea:global:peac:agreement:palestinian:includ:dismantl:settlement,reste
27,institut:contribut:signific:continu:concentr:effort:common:object:cross-bord:task:left:member:state,autres
28,come:law-mak:futur:council:minist:open:parliamentari:organis:transpar:scrutini:carri,plus
29,given:circumst:absenc:great:european:voic:did:think:nice:agreement:lesser:evil:certain:bad:outcom:achiev:context,reste
30,guarante:serv:ensur:will:entrepreneur:automat:jeopardis:livelihood:face:risk:financi:ruin:life,reste
31,theori:start:point:competit:european:industri:competit:obtain:raw:materi:process:term:world,obtient
32,presid:comfort:face:fish:debat:reassur:commission:colleagu:friend:number:activ:fish:matter:late:debat:assur,soyez-en
33,need:look:import:cattl:outsid:european:union:need:believ:lot:complac:world,reste
34,use:case:europ:sunday:friday:day,seigneur
35,cours:relay:point:first:commission:rede:commiss,adressent
36,set:asid:examin:effect:unborn:possibl:unheard-of:natur:speci:varieti:natur,artificiellement
37,colom:naval:report:caus:lot:problem:recent:hope:solut:near:futur:member:state:ring:commiss:dare:say:panick:mind,rassurent
38,fact:scenario:treat:inferior:societi,reste
39,addit:annex:modifi:chang:lisbon-valladolid:motorway:total:reductionist:definit:singl:transport:mode:portug:spain:multimod:link:europ,reste
40,tell:ukrain:easili:just:give:money:condit:money:function:econom:fulfil:doe:democraci:expect:resolut:make:clear:manner:chang:adjust:energi:ukrain,apaiser
41,yes:famili:delight:quick:mum:head:goe:hug:minut:later:dog:run:round:high:excit,reste
42,exist:quota:portug:reduc:fish:deficit:tonn:help:afloat:deep-sea:fleet,reste
43,realli:welcom:fact:second:pillar:dealt,ailleurs
44,context:support:resolut:confeder:european:unit:left:nordic:green:left:subscrib:transatlant:dialogu:vote,reste
45,creat:author:precaut:taken:bureaucratis:centralis:tendenc:avoid:second:europ:accus:want:wipe:typic:tradit:product:appli:rule:hygien:health:process:conserv:right:moment:consumpt:unsuit:rigid:excess:valid:steril:standardis:product:busi:appropri:product:link:local:aosta:valley:alp,val
46,know,suite
47,second:paragraph:articl:say:worker:right:limit:maximum:work:hour:daili:week:period:annual:period:paid:leav,repos
48,just:health:time:suitabl:work:condit,repos
49,president-in-offic:council:visit:north:korea:initi:surpris:given:greater:acknowledg:greater:influenc:american:partner:world,reste
50,suit:purchas:old:sharehold:close:profit:margin:lag:brand:stuck:product:product:transfer:countri:low:wage:inadequ:environment:regul,reste
51,forfeit:goe:member:state,reste
52,spark:obvious:fli:agenc:creat:decision-mak:power:transfer:extern:institut:schmitt:final:decis:doe:cours:agenc,laissées
53,feel:european:parliament:express:repudi:act:forc:term:intern:communiti:communiti:institut:unequivoc:condemn:barbar,joignant
54,say:region:polici:cohes:fund:countri:fit,casera
55,share:view:fellow:mep,reste
56,sixth:high:speed:rail:interoper:iberian:network:adapt:track:gaug:european:contin:eas:sky:land:congest,reste
57,moment:thank:agreement:switzerland:type:possibl:access:north-south:traffic:traffic:itali:contin,reste
58,burden:negoti:realli:did:main:european:union:follow:departur:unit:state:israel,reposé
59,determin:racism:articl:european:union:say:world:approach:problem,reste
60,china:key:posit:wto:bring:consider:chang:west,reste
61,mean:european:parliament:distanc:polit:scientif:world:scientif:communiti:demand:promot:germlin:therapi:far:call:outlaw,proscription
62,quit:clear:accept:report:fall:world:develop:import:treatment:cancer:diabet:parkinson:alzheim:diseas,reste
63,commiss:took:tough:stanc:negoti:effort:final:night:morn:novemb:enabl:european:union:convinc:partner:posit:well-found,reste
64,iran:help:soldier:releas:develop:peac:world,reste
65,reform:societi:share:valu:valu:distinguish:europ:world:european:union:found,reste
66,conclud:say:integr:tomorrow:gain:standard:driver:certif:direct:journey:time:period:card:confirm:direct:drive:licenc:train:need:today,repos
67,presid:behalf:british:conserv:ppe-d:say:strong:support:compromis:set:von:wogau:report:reiter:prodi:morn,reste
68,far:mention:access:union:dupui:did:fear:caus:offenc:europ:want:genuin:lay:histori:twentieth:centuri:confin:enlarg:refus:assum:respons:consequ:european:histori,vingtième
69,extens:rapporteur:approach:draw:attent:sunday:collect:day,repos
70,christian:sunday:specif:signific:day:design:god:goe:day:christ:resurrect,repos
71,madam:presid:congratul:rapporteur:report:commission:commiss:servic:creat:real:new:framework:contact:youth:europ:world,reste
72,sign:forc,autres
73,cours:defend:pen:expect:quit:capabl:defend:cours:say:support:support:polit:ideal:parliament:count:vote:differ:hous:precis:radic:member:question:uphold:parliament:digniti,jean-marie
74,feel:tourism:aim:satisfi:need:worker:work:class:general:recreat:vital:maintain:strength,repos
75,mention:follow:ali:programm:develop:inform:societi:four-year:programm:receiv:eur:million:commiss:provid:million:latin:american:countri:provid:figur:reach,reste
76,reserv:support:text:vote:favour,reste
77,basi:latest:extens:exampl:iberian:peninsula:road:link:franc:pyrene:integr:scandinavian:countri:road:link:contin:austria,reste
78,worri:fishing-ground:know:deplet:awar:leav:sea:hand:industri:fleet:respect:biolog:period:net:monitor:small-scal:fishermen,repos
79,agre:measur:highlight:resolut:consider:communiti:budget:edf:greater:coordin:bilater:multilater:donor:import:microcredit:creation:allianc:hunger:poverti,reste
80,ordinari:assur:continu:provid:emerg:humanitarian:aid:order:prevent:undu:suffer:total:breakdown:civil:societi,être
81,guilti:greater:lesser:extent,autres
82,believ:good:compromis:reach:commiss:rais:point,ailleurs
83,blokland:indic:night:psycholog:effect:environment:effect:difficult:verifi:room:improv:respect,nocturne
84,intent:implement:protocol:import:view:sake:scientif:research:close:unnecessarili:way:world:work:unnecessarili:difficult:world,reste
85,relationship:taxpay:europ:need:recipi:fund:way:princ:charl:queen:royal:famili:receiv:relat:subsidi:grant:common:agricultur:polici,reste
86,assur:hous:comment:pass:bureau:verbatim,compte-rendu
87,american:isra:mention:intern:communiti,reste
88,welcom:measur:propos:commiss:eas:direct:transit:good:kaliningrad:russia,reste
89,make:success:enlarg:key:prioriti:forget:parliamentari:relat:world,reste
90,incident:ireland:fail:implement:part-tim:worker:direct:serious:line:europ:issu,reste
91,accept:respons:form:climat:chang:nonetheless:regard:parti:industrialis:world:contribut:creat:climat:chang:way,reste
92,contempt:plead:met:lead:think:inhabit:differ:planet,plaidoirie
93,think:problem:entertain:leisur:industri:industri:worker:direct:easi:live,autres
94,amaz:complain:elect:repres:cut:popul:thought:use:idea:certain:appreci:general:public,étonnées
95,mere,reste
96,hand:chines:govern:want:hong:kong:countri,reste
97,wish:especi:draw:attent:propos:import:new:regul:member:state:supervisori:author:legal:proceed:case:period:infring:infring:taken:territori:member,repos
98,propos:decid:start:draw:pension:work:grown:old:interv:work:live:endeavour:illustr,reposer
99,chang:sake:freedom:democraci:rule:law:peac:communist:nationalist:cleric:fundamentalist:peac:kind,éternelle
100,countri:belarus:border:latvia:lithuania:poland:develop:fair:similar:way:member:ussr:year:taken:authoritarian:cours:restrict:human:right:democraci:impos:abus:social:control:prevent:european:union:establish:mechan:relat:associ:cooper:countri,autres
101,far:concern:vast:gulf:hand:commiss:lyric:flight:oratori:regard:competit:european:economi:knowledge-bas:societi:new:govern:dash:hope:growth:employ:despit:repeat:promis:singl:market:euro,reste
102,challeng:undertak:technic:speak:budget:appli:member:state:month:member:state:year,reste
103,import:realis:screen:doe:data:meal:order:data:passeng:record:download,reste
104,direct:basic:skill:term:train:piec:drive:time:driver:attest:vocat:train,repos
105,pay:drug:baron:effect:determin:pursu:polici:prohibit:simpli:line:pocket:crimin:discard:intellig:approach:reduc:real:harm:individu:societi,reste
106,netherland:exampl:europ,reste
107,european:union:healthier:basi:econom:financi:point:view:comparison:world,reste
108,fear,apaiser
109,lost:nation:region:regul,reste
110,artifici:scale:european:union:divid:core:europ:undermin:european:union:cohes:public:trust:european:institut,sape
111,stop:shoot:foot:ought:stop:shoot:foot,empêcher
112,futur:need:focus:concentr:approach:coordin:prioriti:fund:cross-bord:project:major:item:communiti:left:member:state,reste
113,iran:want:better:relationship:world,reste
114,enjoy:expertis,reste
115,day:power:bloc:european:union:usa:sit:smoke-fil:room:carv:spoil:throw:crumb:world:long:gone,reste
116,ironi:fate:today:discuss:report:ombudsman:job:combat:bad:administr:hous:rumour:maladministr:eurostat,rumeur
117,sure:contribut:greater:converg:higher:educ:system:major:impact:attract:world,attrait
118,adopt:today:new:instrument:exchang:cooper:field:higher:educ:send:posit:signal:student:teacher:countri:world:outward-look:welcom,reste
119,hope:commiss:look:propos:come:forward:maximum:journey:situat:anim:continu:travel:long:distanc:period,repos
120,exampl:rigid:hour:hour:period:sight:ultim:destin,repos
121,europ:overfish:problem:shift:world:increas:number:european:fishermen:deplet:fish:stock:water:contin,reste
122,expect:nation:govern:shoulder:respons:respons:resolv:delay:said:minist:number:issu:debat:length:respons:build:flexibl:safeguard:allow:constitut:time,reste
123,monopoli:make:legisl:propos:longer:elect,appartiendra
124,understand:caus:problem:solv,arrêter
125,agricultur:world:trade:organis:opinion:appropri:forum:deal:right:oblig,reste
126,hand:african:partner:commiss:sure:month:ahead:reflect:mid-term:review:cotonou:agreement:regard:countri:strategi:relev:africa,reste
127,rapporteur:state:attent:appropri:control:requir:prevent:monopoli:situat:legal:facto:happen:itali:certain:believ:europ:abus:pointless:tax:detriment:amateur:artist,reste
128,heard:main:object:direct:polit:framework:legal:basi:protect:worker:harm:effect:health:safeti:work:excess:long:hour:inadequ:irregular:work:hour,repos
129,actual:blame:member:state:commiss,attribuer
130,titford:mind:dutch:govern:follow:unit:kingdom:exampl:fact:deal:problem:concern:today,titford
131,complet:intern:market:lead:improv:work:condit:communiti:support:complement:member:state:action:field:health:safeti:protect:worker:laid:articl:treati:worker:right:restrict:maximum:work:daili:week:period:annual:period:paid:holiday:work:condit:respect:health:safeti:digniti,repos
