id,phrase,classes
1,week:somewhat:chanc:wit:roissi:airport:rare:violenc:young:women:admit:illeg:immigr:return:conakri,scena
2,news:receiv:recent:week:way:modern:technolog:facilit:intercept:mean:greater:attent:paid:issu:want:realiti:harsh:troubl:dark:depict:orwel,cupi
3,want:central:bank:play:intern:activ:contribut:defin:new:rule:enabl:intern:financi:oper:crise,scena
4,presid:thank:rapporteur:high:gratifi:report:success:work:cours:wish:thank:involv:fruit:cooper,autrice
5,daili:airport:passage-way:overcrowd:bore:irrit:aggress:passeng,quotidianità
6,obvious:appli:major:player:intern,scena
7,soon:earthquak:occur:commiss:humanitarian:aid:offic:echo:direct:field:expert:station:hondura:direct:sunday,scena
8,midday:cours:drew:gun:just:interrupt:tell:maaten:cigarett:mouth:fire,scena
9,commiss:involv:parti:negoti,paravento
10,rapporteur:state:hope:posit:signific:indic:china:olymp:game:held:china:imag:intern:entir:posit,contrassegnare
11,act:intern:encourag:countri:outsid:sign,livello
12,want:strengthen:liabil:reject:idea:parliamentari:happen:draw:appropri:conclus,recarsi
13,intern:situat:good:come:hold:debat:institut:consid:burn:issu:current:intern:view:possibl:resolv:european:perspect,scena
14,method:heroin:inject:supervis:inject:room:open-drug:on-the-spot:anonym:test:substanc:requir:research:evalu:general:recommend,consigliati
15,conclus:determin:negoti:haggl:nation:interest:play:european:threat:veto:use,quinta
16,thank:council:commiss:help:statement:today:speaker:debat:rothley:gargani:except:contribut:long:period:italian:presid,quinta
17,presid:commiss:want:implement:ambiti:programm:ought:failur:financi:perspect:denounc:road:ruin:european:union,clamorosamente
18,presid:countri:flander:terror:street:past:week:gang:north:african:immigr:give:vent:hatr:western:societi:take:public:privat:properti,teatro
19,hous:polit:initi:start:debat:draw:debat:sourc:initi:eventu:bear:fruit:legisl,ospitato
20,think:come:combat:climat:chang:commiss:show:leadership:world,livello
21,outward:look:given:credit:past:year:seen:intern:preoccup:claim:headlin:achiev:extern,quinta
22,know:commission:activ:come:reason:pragmat:solut,quinta
23,new:kind:communiti:aris:side:atlant:communiti:lawyer:journalist:politician:differ:side:polit:activist:humanitarian:organis:citizen:recent:infring:human:right:polit:civic:freedom:european:govern:govern,orientamento
24,quit:distress:quit:offens,scena
25,presid:ladi:gentlemen:near:half:centuri:intern:darken:east-west:conflict:confront:peopl:middl:east,oscurata
26,commiss:observ:paid:worker:contribut:stabilis:macroeconom:moder:pay,macroeconomico
27,method:adopt:rapporteur:doe:posit:aspect:allow:definit:member:committe:institut:affair:call:essenc:union:secur:mean:set:basic:guarante:enabl:union:exist:adopt:legal:live:develop:freeli:assert:ident:intern,scena
28,relev:point:just:passiv:spectat,passivo
29,depend:futur:hundr:million:acp:countri:possibl:european:union:effect:effici:player:intern:capabl:further:equal:justic:prosper:part:world,scena
30,grow:scientif:evid:depict:sex:violenc:harm:develop:young,scena
31,wit:week:number:distress:vulner:arriv:shore:europ:deepli:disturb,approdate
32,kreissl-dörfler:show:clear:issu:mai:just:defenc:sector:import:cultur:method:logic:divis:hierarchi:player:intern,scena
33,report:conclud:union:initi:regard:problem:aris:area:middl:east:balkan:late:european:parliament:natur:role:respons:player:world:evid:commiss:council:minist,sopravvenuti
34,smes:worst:accid:receiv:special:attent,rivolga
35,set:ingredi:tragedi:inconceiv:proport:year,condizione
36,far:know:number:guidelin:draft:barrier:activ:implement,quinta
