id,phrase,classes
1,enlarg:achiev:integr:come:threat:unless:creat:concentr:propos:european:liber:democrat:reform:parti,concéntricos
2,main:lack:inform:sportsmen:women:report:propos:indic:box:pharmaceut:product:consist:olymp:traffic:light,aro
3,true:say:bank:oper:price:deliber:keep:price:high:globalis:fewer:fewer:bank:mean:competit,manteniéndolos
4,member:state:want:evad:respons:import:necessari:unpopular:true:convict:shrug:respons,impopular
5,madam:presid:posselt:right:chancellor:schröder:elect:british:prime:minist,llamó
6,cappato:rhetor:doe:bit:true,suena
7,awar:member:state:current:want:surrend:ident:sea:advantag:ship:display:european:symbol:propos:idea:symbol:european:union:appear:corner:flag:star:blue:background,corona
8,classifi:reject:bunch:crimin:view:fact:contact:exampl:number:group:dislik:council:guardian:hollow,agradaban
9,confirm:direct:control:rot:transpos:dutch:author,podredumbre
10,econom:dialogu:bank:cultur:dialogu:foundat:great:prospect:close:relat:friend:southern:mediterranean,círculo
11,mention:lehn:provid:signific:intellig:cooper:contribut:text:question:decemb:sum:neat:negoti:near:year:continu:longer:situat:council:lead:parliament:danc:bear:nose:circus:arena,anillo
12,wish:say:person:basi:paedophil:oper:high:organ:intern:basi:date:european:union:state:cooper:suffici:ensur:respons:organ:intern:basi,pederastas
13,happi:speak:subject:main:reason:spoke:comment:success:labour:mep:have:remark:have:down:street:way:vote:expung:record,downing
14,recent:commiss:came:vagu:pronounc:subject:phthalat:babi:teeth,mordedores
15,merg:europ:organis:seri:concentr:core:founder:member:european:union,concéntricos
16,fact:accept:ban:substanc:speak:object:exampl:teeth,chupadores
17,holland:vaccin:success:mood:commiss,exitosamente
18,respons:simpl:demand:histori:led:road:intent:first:strengthen:barcelona:polici:develop:encount:major:problem:second:defin:new:polici:outlin:friend:share:institut:union:point:hope:greek:italian:presid:help:boost:year:given:consecut:mediterranean:presid,grupo
19,agre:presid:prodi:said:develop:friend:stretch:russia:morocco:exclud:possibl:acced:union:condit:countri,grupo
20,presid:just:extrem:interest:discuss:commiss:leitmotif:contribut:strongly-held:argument:spoke:absolut:imper:question:relationship:new:neighbour:prioriti:past:given:enlarg:word:everybodi:respons:promot:concept:institutionalis:friend:offer:way:share,círculo
21,presid:mrs:izquierdo:rojo:tell:said:parodi:certain:true,parodias
22,doe:believ:general-interest:servic:treat:way:compani:produc:exampl:plastic:key,llavero
23,key:principl:friend:forg:joint:ownership,círculo
24,need:surround:friend:enjoy:free:market:secur:border:share:valu:european:union:particular:human:right:democracy-build,círculo
25,lebanes:christian:restor:countri:independ:role:their:regain:freedom:land:accord:express:béchir:gémayel:bell:unhind:countri:guarante:right:govern:offer:christian:communiti:middl:east:assist:solidar:safe:haven,sonar
26,stand:sidelin:disjoint:idl:fashion:allow:slobodan:milosev:run:member:state:past,envolviendo
27,euroland:take:serious:commit:act:respons:number:european:commiss,teléfono
28,commission:deleg:tomorrow:tell:approach:guatemalan:govern,teléfono
29,extraordinari:possibl:scientif:medic:progress:seen:light:inher:potenti:sudden:alarm:bell,alarma
30,travel:british:univers:speak:student:rash:star:flag:literatur,anillo
31,ladi:gentlemen:negoti:near:year:continu:longer:situat:council:lead:parliament:danc:bear:nose:circus:arena,argolla
32,clear:achiev:friend:know:immigr:come:europ:distant:countri,anillo
33,clear-cut:strategi:hope:conclud:negoti:bulgaria:romania:croatia:start:fast-track:union:regard:turkey:set:timet:point:morn:octob:commiss:report:decemb:decis:frame:refer:copenhagen:right:countri:start:straight:away:suggest:term:friend:say:share,círculo
34,presid:prodi:said:aim:enp:creat:friend,círculo
35,awar:european:neighbourhood:polici:establish:friend:enlarg:union,círculo
36,want:talk:term:advertis:profitdriven:nasti:import:consum,publicitarios
37,optimist:refer:common:destini:preambl:fals:ear:countri:suppos:fat:stuf:gullet:refus:poor:countri,suenan
38,break:prostitut:direct:worth,circuito
39,inform:transmit:exampl:tyre:car:refriger:portabl:termin:equip:wallet:key:home:air-condit:navig,anillo
40,recent:british:studi:reveal:polic:identifi:paedophil:area:just,pederastas
41,line:argument:familiar,argumental
42,way:common:posit:improv:idea:thrown:parliament:read,ruedo
43,bell,sonar
44,cours:caus:alarm:bell,disparado
45,glad:rung:necessari:minut:sick:death:hear,sonar
46,avoid:european:liber:democrat:express:hope:intergovernment:confer:consid:model:differenti:integr:creat:concentr:union:feder:core:integr:outer,concéntrica
47,talk:exceed:hollow:parliament:doe:address:exist:treati:violat,vacía
48,admit:success:far:number:increas:recent:receiv:report:abus:particular:albanian:kosovar:women,multiplicando
49,experi:anim:shown:toxic:carcinogen:natur:phthalat:liver:kidney:testicular:ailment:children:suck:chew:dummi:rattl:teeth,mordedores
50,result:ban:phthalat:whatsoev:children:toy:teeth,chupadores
51,content:gunboat:fleet:fli:star:flag:enforc:fisheri:polici,anillo
52,talk:unit:divers:hollow:especi:non-align:member:state:part:content:report:practic,diversity
53,member:so-cal:wonderland:club:internet:paedophilia:arrest:site:differ:european:countri,círculo
54,far:so-cal:vaccin:infect:hold:concern:remind:sought:implic:commiss:ask:commiss:did:order:compulsori:vaccin:matter:urgenc:present:legal:say:characteris:form:subsidiar:vaccin:respons:nation:author,anillo
55,union:concentr:circl:interconnect,concéntricos
56,baltic:involv:programm,anillo
57,want:clear:object:build:friend:doe:impli:commit:exclus:regard:enlarg:countri:right:membership:exclud,anillo
58,presid:fine:word:saddam:hussein:have:disarm:iraqi:entitl:freedom:remark:hollow:situat:know:saddam:hussein:slightest:intent:disarm:exil:let:give:oppress:iraqi:freedom,suenan
59,famous:swedish:poem:includ:word:chao:god:neighbour:true:today,poema
60,communic:specif:step:taken:posit:recept:communic:inspir:presid:relat:polici:cooper:friend,círculo
61,first:geograph:area:mean:restrict:closest:neighbour:mediterranean:south:russia:ukrain:countri:friend:case:deal:partner:somewhat:away:border:neighbour,círculo
62,object:combin:sort:polici:continu:deepen:enlarg:creat:friend:european:union,círculo
63,extend:question:apolog:make:clear:earlier:just:potato:rot:diseas:call:ramorum:dieback:sudden:oak:death:seen:netherland:reach,podredumbre
