@relation mood-weka.filters.unsupervised.attribute.NominalToString-C2

@attribute id numeric
@attribute phrase string
@attribute classes {stimmung,gefühl,allseitige,bernié,großzügig,abwartende,stimmungswandel,bedürfnis,atmosphäre,zynischer,selbstzufriedene,erläuterung,laune,selbstgefällig,anforderungsniveaus,renaissance,pessimistisches,noordwijk,vergaßen,banale,gemütsverfassung,skeptisch,zumute,antieuropäische,stimmungslage,hoffnungsfroh,grundstimmung,trauerprozeß,friedlicheren,kooperative,grundhaltung,erkenntnis,klima,bewußtsein,kongreß,mißfallensäußerung,einschätze,wider,angestiftet,gelaunt,haltung,anfall,denken,entwicklungsprojekt,beginnen,eingestellt,hormonfleisch,türkei-berichtes,feierstimmung,spekulierend,kompromißbereiten,reformfreudig,hereinzutragen,gedankengut,offen,ukrainische,resignation,panik,optimismus}

@data
1,mrs:stauner:new:budget:control:committe:statement:real:reflect:debat:went,stimmung
2,want:view:govern:respons:govern:hold:referendum:stir:new:hatr:reawaken:anti-european:parti:austrian:parti:pro-european:fact:unlik:want,stimmung
3,feel:unfortun:persist:day:european:public:opinion,gefühl
4,let:prevail:exploit:close:border:increas:prejudic,stimmung
5,intern:today:possibl:have:thing:destroy,stimmung
6,call:resili:ardour:implement:regul:tough:control:work:improv:inspect:regim:member:state,allseitige
7,council:hear:opportun:say:denmark:yesterday:say:hope:council:cours:concili:procedur:open:parliament:argument:open:concili:procedur:leav:mark:general:atmospher:budget:discuss:conduct:cours,stimmung
8,fail:summit:doe:harm:good:bring:resign,stimmung
9,bit:christma:season:know:probabl:thank:committe:foreign:affair:cooper:rate:regard:enlarg:packag,stimmung
10,madam:presid:dear:dagmar:tell:barnier:came:plenari:good,bernié
11,intern:communiti:respond:wake:regim:pyongyang:soften:rais:prospect:chang:slow,stimmung
12,presid:obvious:generous:tonight,großzügig
13,defenc:human:digniti:threaten:fear:public:scarc:credit:doe:say:courag:strength,stimmung
14,need:said:clear:european:union:wait-and-se:rest:world:come:halt,abwartende
15,annual:debat:progress:gaug:specif:record:reform:achiev:public:opinion:think:increas:cool:front:recent:time,stimmung
16,eurl:report:did:prove:parliament:europ:shift:right:direct:past:year:awar:point:ankara:fail:fulfil:copenhagen:access:criteria,stimmungswandel
17,begin:express:gratitud:thank:repres:parliament:come:street:strengthen:peac:peac:show:street:neglect:long:europ:outsid:world:realli:did:care,bedürfnis
18,approach:exemplifi:chang:tone:attitud:substanc:govern:europ,stimmung
19,posit:develop:evid:text:compet:repress:prevail,atmosphäre
20,problem:today:young:good:home:live:feel:live:need:extra:lift:trip:saturday:discothequ:rais:help:drug:lure:believ:harmless,stimmung
21,firm:kind:anti-european:hope:hous,stimmung
22,cynic:say:slight:optimist:say:benefit:profit:oil:compani,zynischer
23,impress:prevail:institut:european:union:complac:happen,selbstzufriedene
24,view:need:mechan:institut:captur:nation:common:activ:influenc:shape:simpli:led:current,stimmung
25,hope:examin:understood:say:explan:transpar:apolog:evas:necessari:simpli:materi:deal,erläuterung
26,exampl:involv:adher:principl:committe:meet:held:strasbourg:possibl:avoid:late-night:sit:sit:improv:effici:action,laune
27,slap:self-congratul:give:money:africa:money:solv:problem,selbstgefällig
28,unfortun:numer:interview:demonstr:general:level:regul:decreas:combin:pressur:industri:advertis:number:member:state,anforderungsniveaus
29,live:econom:nation:right:competit:commission:necessarili:easiest:job:town,renaissance
30,want:tell:notic:pessim:speech:heard,pessimistisches
31,point:give:report:inform:council:meet:noordwijk:optimist:simpli:reflect:head:govern:meet,noordwijk
32,thank:titley:presid:catch:today:wish:say:regret:nomin:madrid:great:team:forgot:mention:barcelona:footbal:club,vergaßen
33,put:reflect:quit:possibl:futur:shall:discov:commonplac:thing:vital:import,banale
34,dimens:report:practic:result:achiev:presid:second:descript:direct:european:union:today,stimmung
35,bear:mind:spanish:politician:said:spanish:characteris:willing:imagin,gemütsverfassung
36,speak:small-:medium-s:enterpris:certain:pleas:music:come:council:frank:sceptic:charter:construct,skeptisch
37,generous:commission:ahead,großzügig
38,holland:ring:vaccin:success:commiss,stimmung
39,presid:unfortun:circumst:prevent:celebratori,zumute
40,tie:russia:anti-european:spread:gain:democraci:remov:stronger:influenc:minsk,antieuropäische
41,countri:chang,atmosphäre
42,think:exampl:prevail:spirit:vote:plan:combat:organis:crime:notic:case:differ:rhetor:present:today:nation:state,stimmungslage
43,want:increas:confid:respond:effect:interest:need:acknowledg,stimmungslage
44,optimist:young:member:year:access:european:union:europ:day:schuman:day:ratifi:constitut:vote:countri:speak:estonia,hoffnungsfroh
45,hope:capac:repres:council:contribut:general:optimist,grundstimmung
