id,phrase,classes
1,wit:met:told:murder:civilian:summari:trial:rape:tortur:kidnap,ejecución
2,remain:necessari:relentless:violat:human:right:death:penalti:stone:spring:mind:constant:disrupt:intern:televis:programm,ejecución
3,state:carri:industri:quantiti,ejecución
4,march:mrs:adelaid:aglietta:present:major:report:european:parliament:call:moratorium:decid,ejecución
5,addit:palestinian:author:respect:human:right:higher:degre:term:exampl:treatment:prison,ejecución
6,year:call:death:penalti:reintroduc:terrorist:drug:dealer,ejecución
7,first:clear:highlight:report:fact:import:posit:measur:propos:legal:polic:area:establish:minimum:standard:establish:extradit:recognit:judici:resolut:arrest:warrant:approxim:nation:legisl,ejecución
8,final:need:adequ:review:procedur:ensur:criteria:appli:contract,ejecución
9,committe:saw:discharg:budget:object:object:communiti:initi,ejecución
10,current:mobilis:countri:appear:brought:forward:saturday,ejecución
11,increas:number:polit:spring:mind:ban:falun:gong:movement:recent:escap:tibetan:karmapa:lama:india,ejecución
12,particular:worri:union:commiss:cruelti:punish:practis:applic:sharia:law:number:countri,ejecución
13,presid:think:rememb:resolut:parliament:death:penalti:led:increas:recent:year:countri:abolish:death:penalti:practic:moratorium:taken:recent:year,ejecución
14,amend:remov:word:paragraph:effect:european:parliament:express:indign:increas:number:china:recal:chines:govern:systemat:use:persecut:tortur:mean:silenc:dissid:minor,ejecución
15,regard:share:concern:solv:problem:outstand:commit:essenti:abnorm:ral:ask:question:doe:commission:believ:cut:council:eur:million:payment:appropri:compat:object:year,ejecución
16,human:right:issu:specif:cruel:form:stone:high:agenda:comprehens:polit:dialogu:take:half-year:meet:iran,ejecución
17,basi:initi:council:adopt:septemb:declar:death:penalti:cruel:form,ejecución
18,presid:commission:ladi:gentlemen:govern:presid:januari:includ:septemb:day:negoti:held:iran:second:includ:woman:advisor:presid:khatami:woman:said:stone:legitim:defens:method:protect:famili:valu:third:sentenc:human:right:activist:nasser:zarafshan:year:prison:govern:deserv,ejecución
