id,phrase,classes
1,appropri:madam:presid:write:sri:lankan:presid:express:parliament:regret:violent:death:sri:lanka:urg:possibl:seek:peac:reconcili:difficult:situat,lettera
2,mrs:banotti:appar:promis:write:explain:permiss:withdrawn:far:receiv,lettera
3,think:speech:receiv:cascad:chines:author,missiva
4,file:cabinet:claim:real:situat:china,lettera
5,final:allow:remind:edd:belong:stand:differ,lettera
6,want:provid:follow:piec:inform:wall:street:journal:refer:seminar:april:open:proof:regul:concern:prepar:open,lettera
7,nonsens:inform:written:incomprehens:languag:packag,carattere
8,context:propos:order:consequ:propos:follow-up:measur:e-mail:sent:anonym,lettera
9,say:point:draw:commiss:attent:fact:compani:fold:job:destroy:follow:commiss:measur:illeg:attempt:intervent:irrespect:origin:parliament:member:regardless:come:franc:ireland:bavaria,provenga
10,meantim:mrs:fontain:receiv:prodi:state:commiss:tire:answer:stupid:question:committe:budgetari:control,lettera
11,thing:said:guess:speak:author:subject:european:union:member:state:remain:biggest:donor:food:aid:ethiopia,lettera
12,behalf:deleg:thank:commiss:immedi:express:sympathi:prodi:municip:ensched,lettera
13,discuss:extrem:thorough:yesterday:receiv:mrs:palacio:inform:committe:opinion:issu,lettera
14,propos:decid:want:legal:affair:committe:draw:genuin:propos:think:written:mrs:palacio:propos:term:rule:procedur,lettera
15,greec:welcom:euroland:member:state:euro:zone:respect:spirit:stabil:growth:pact,lettera
16,commiss:propos:follow:word:direct:receiv:support,lettera
17,sure:say:regul:impractic:cumbersom:cost:far:complex,lettera
18,receiv:standard:local:social:secur:offic:ask:attend:two-hour:interview:bring:item:possibl:non-exhaust:list:document:passport:bank:statement:household:bill:establish:ident,lettera
19,report:urg:commiss:council:ensur:principl:differenti:defin:helsinki:implement:countri:judg:merit,lettera
20,subject:council:repli:turkish:foreign:minist:cem:supplementari:question:question:septemb:question:opportun:ask:president-in-offic:council:council:respons:sent:turkish:foreign:minist:cem:foreign:minist:european:union:sought:promot:interpret:helsinki:summit:conclus,lettera
21,mrs:hautala:mention:support:sympathi:effort:undertaken:presid:mrs:fontain:set:negoti:statut:mep,missiva
22,accept:substanc:amend:budgetari:consult:procedur:thursday:council:prove:arm:budgetari:author:did:fact:wish:support:reform:commiss,lettera
23,withdraw:resolut:content:reproduc:joint:resolut:sign:chairmen:main:polit:group,letteralmente
24,happi:support:commission:transpar:possibl:public:british:govern,lettera
25,commiss:unhcr:demonstr:juli:strengthen:partnership:asylum:refuge:exchang:commission:vitorino:mrs:ogata,lettera
26,furthermor:parliament:request:annex:agreement:inform:parti:unit:state,lettera
27,clear:doubt:novemb:way:attempt:limit:free:comment:prevent:critic:commiss:mrs:gradin:asp,lettera
28,kinnock:refer:mrs:gradin:asp,missiva
29,point:mrs:gradin:sure:complet:understand:especi:explain:recent:simpli:relat:legal:realiti:proper:discharg:function:commiss:legal:constitut:organis:oblig:set:law:staff:regul,lettera
30,madam:presid:judg:correspond:seen:far:accord:deliv:member:post:box:today:quit:appar:head:privat:offic:entir:sure:doubt:applic:remov:immun:berlusconi:dell:utri:transmit:hous:spanish:suprem:court:submit:proper:correct:legal,lettera
31,produc:shorter:understand:better,lettera
32,regard:report:cooper:court:member:state:take:evid:want:say:yesterday:wait:lift:tenth:floor:tower:beauti:young:european:girl:came:confidenti:prevent:tell:say:start:said:bravo:fatuzzo,lettera
33,mean:commiss:propos:amend:regul:determin:member:state:payment:vat-bas:resourc:doe:match:actual:practic,versati
34,sent:swedish:presid:request:permiss:attend:ecofin:meet:discharg:adopt,lettera
35,think:parliament:drew:offici:drew:tell:come:ministri:justic,lettera
36,understand:presid:accus:extrem:unfair:manner:nonetheless:import:interest:transpar:unquestion:legal:fact:includ:archiv:document:chair:committe:legal:affair:exampl,corrispondenza
37,taken:floor:today:presid:send:measur:deem:appropri:regard:happen:afro-colombian:communiti:pacif:coast:colombia:moment,lettera
38,repli:verif:come:month:deadlin:israel:repli:expir,lettera
39,sent:author:explain:pursuant:rule:procedur:item:agenda:dealt:question:hous:awar:commiss:council:statement:issu:turkish:prison:hunger:strike,lettera
40,confirm:import:formal:attach:human:democrat:right:remain:dead:progress:achiev:field:assess:regular:interv:polit:consequ:drawn:find,lettera
41,rule:rule:procedur:exchang:european:parliament:italian:govern:actual:confirm:entitl:vote:case:cours:valid:vote,lettera
42,ought:play:safe:cours:precis:amend:autumn:includ:question:shall:pay:budget:foot:mouth:diseas,lettera
43,request:ask:presid:parliament:messag:discuss:peac:propos:matter:urgenc,lettera
44,element:doubt:make:budgetari:decis:complex:council:failur:respond:amend:implement:earli:retir:scheme,lettera
45,essenti:stress:maximum:emphasi:clear:distinct:cost:meet:commiss:care:measur:request:new:post:includ:post:deleg:submit:amend:septemb:far:smaller:gross:cost:invest:reform,lettera
46,vote:report:express:opposit:spirit:schengen:convent,lettera
47,formal:notic:obtain:member:observ:specif:question,lettera
48,greec:repli:formal:notic:firm:ground:infring:proced:establish,lettera
49,attempt:danger:repres:terror:restrict:elimin:mean:includ:union:nation:legisl:instrument:huge:democrat:wave:dissent:opposit:domin:social:econom:sweep:europ:world:reject:just:legisl:practic:refer:barón:crespo:italian:law:intern:rogatori:practic:assist:terrorist:organis:crime:group:condemn,rogatoria
50,presid:behalf:liber:wish:say:believ:stabil:growth:pact:essenti:pillar:econom:stabil:euro:area:union:wide:respect:spirit,lettera
51,surpris:realli:commission:verheugen:confirm:temelin:plant:complet:safe,lettera
52,presid:assur:bureau:look:invit:vice-presid:commiss:speak:bureau:order:amend:agre:night,lettera
53,presid:assur:sent:bureau:met:thursday:think:hous:hear,lettera
54,accord:instanc:amend:present:overal:view:thing,lettera
55,mrs:fontain:say:believ:come:provid:member:fullest:possibl:detail,lettera
56,presid:point:confer:presid:bureau:fair:unanim:point:view:adopt,lettera
57,say:accept:amend:spirit,forma
58,request:effect:presid,lettera
59,import:numer:receiv:scientif:academi:medic:compani:patient:associ:beg:clamp:promis:hope:research,lettera
60,express:regret:concern:paragraph:presid:assembl:arab:republ:egypt:resolut,lettera
61,presid:monday:even:ask:mrs:fontain:exchang:bush:prodi:avail:member,epistolare
62,high:import:vote:soon:hold:relat:europ:unit:state:urgent:ask:exchang:bush:prodi:avail:member,corrispondenza
63,necessari:commiss:hesit:extend:special:purchas:scheme:beef:programm:set:aftermath:bse:crisi:expir:end:year:month:sab:transfer:appropri:propos:amend:cancel:billion:euro:initi:earmark:addit:need:relat:bse,lettera
64,introduct:specif:travel:permit:allow:travel:maximum:period:month:whilst:spend:month:territori:member:plan:categori:compli:fulli:treati,lettera
65,consid:necessari:differenti:state:utmost:ensur:stabil:pact:appli:equal:weight,lettera
66,union:deleg:state:thing:european:union:assist:condit:afghan:group:unreserv:appli:spirit:petersburg:agreement:object:creation:broad-bas:multi-ethn:fully-repres:govern:commit:act:favour:sex:equal:improv:situat:women,clausola
67,possibl:send:franc:denmark:unit:kingdom:easili:inexpens,lettera
68,addit:commiss:view:reconsid:amend:adopt:fellow:mep:receiv:copi:actual:said:debat,lettera
69,day:industri:written:angri:decis:committe:environ:public:health:consum:polici:miss:target:prevent:free-rid:futur:come:new:product,lettera
70,preced:member:question:receiv,lettera
71,incident:did:unansw:wrote:fellow:mep:mrs:kauppi:finland:strong:urg:commission:lami:initi:wto:procedur:south:korea:straight:away,lettera
72,advic:legal:affair:committe:held:clearer:inform:requir:sent:request:inform:understand:repli:receiv,lettera
73,countri:concern:violat:stabil:growth:pact:mean:warn:actual:sent:receiv:defend:stabil:european:currenc,lettera
74,enjoy:monopoli:posit:import:guarante:independ:regul:member:ensur:safeti:level:appli,lettera
75,vietnames:prison:releas:follow:pressur:brought:bear:parliament:european:union,lettera
76,presid:sent:commission:patten:presid:parliament:yesterday:ask:parliament:adopt:quick:possibl:supplementari:amend:budget:order:allow:budgetis:eur:million:afghanistan,lettera
77,clear:hous:discuss:issu:spirit:pact:regard:pact:constraint:current:situat:appli:countri,lettera
78,amend:hous:week,lettera
79,ask:commiss:investig:possibl:except:case:involv:invest:general:statement:compat:agreement:european:competit:rule:common:america:busi:review,letter
80,desk:well-mean:presid:definit:statement:council,lettera
81,presid:say:amend:nos:deem:inadmiss,lettera
82,regard:commiss:amend:welcom:fact:commiss:adopt:parliament:propos:read:make:cut:export:refund,lettera
83,follow:preced:exercis:zero:discret,lettera
84,agreement:minist:point:trigger:lebanon:undertak:cooper:counter-terror:set:exchang:refer,lettera
85,believ:specious:argument:presid,lettera
86,presid:delight:commission:byrn:morn:chairman:european:parliament:intergroup:welfar:conserv:anim:disappoint:receiv:commission:byrn:say:unabl:come:meet:intergroup:month:discuss:issu:concern:welfar:live:transport:anim,lettera
87,explain:despit:constant:mass:demonstr:europ:european:union:prepar:play:role:undertak:follow:instruct:usa:lead:govern:offici:given:understand:public:statement,lettera
88,coleman:sanco:state:wrote:short:clear:major:expert:member:state:express:posit:commiss:council:work:parti:reduct:suffici:wish,lettera
89,underlin:just:countri:hope:year:threaten:slip:impun:agreement:remain:dead,lettera
90,european:union:seek:genuin:cooper:russia:involv:european:invest:bank:allow:opportun:russia:idea:forward:schüssel:austrian:chancellor:propound:presid:prodi:commiss,lettera
91,remain:possibl:monsieur:savari:send:remotest:corner:provenc,lettera
92,receiv:turco:date:april:request:parliament:defend:parliamentari:immun:marco:pannella:follow:sentenc:imprison:commut:restrict:freedom:event:occur:itali,lettera
93,cours:keep:spirit:treati,lettera
94,regard:fisheri:agreement:commiss:inform:parliament:renegoti:estim:cost:shall:look:far:amount:provid:need:modifi:amend:octob,lettera
95,thank:commission:recent:confirm:take:similar:high-spe:intern:rail:journey,lettera
96,reason:ask:presid:draft:presid:commiss:delay:contain:remind:parliament:undertak:given:reprimand:commiss:have:kept:undertak:their:have:shown:way:readi:explain:delay:parliament:commiss:adopt:miss:propos:append:aarhus:convent:present:parliament:septemb,lettera
97,unfortun:respons:public:avail:petit:committe:parliament,lettera
98,know:bob:zoellick:sent:wto:member:specif:address:issu:cotton,lettera
99,buch:essay:open:current:presid:south:africa:thabo:mbeki:old:acquaint:author,lettera
100,basic:element:democrat:miss:numer:countri:mediterranean:hope:econom:social:develop:improv:posit:women:remain:dim:resolut:pass:confer:held:framework:barcelona:remain:dead,lettera
101,admit:fail:disclosur:realli:undermin:case:supplementari:member:state:actual:continu:inform:formal:notic,lettera
102,disadvantag:post:pay:new:tax:happi:major:hous:share:concern:reject:report,spediscono
103,respect:regard:area:secur:sent:octob:commission:respons:chairman:parliament:committe:econom:monetari:affair,lettera
104,sens:propos:limit:cent,stabilire
105,european:parliament:said:prison:countri:negoti:european:union:free:countri:europ:turn,lettera
106,refer,lettera
107,tell:sent:previous:sent:condol:famili:british,lettera
108,receiv:matsaki:legal:opinion:concern:request:public:prosecutor:republ:cyprus:waiv:parliamentari:immun:note:european:parliament:octob,lettera
109,confer:presid:week:gave:reaction:parliamentari:committe,lettera
110,connect:immedi:add:comment:commiss:amend:year:agricultur:budget:initi:includ:regard:agricultur:product:futur:fund:infecti:diseas,lettera
111,commiss:sent:formal:notic:greek:author:urg:remedi:situat,lettera
112,given:balanc:view:sent:govern,lettera
113,admit:year:sent:secret:aim:enabl:associ:busi:share:transact:conduct:dutch:export:consortium:chair,lettera
114,furthermor:sign:joint:decemb:state:assur:follow:read:english:origin:languag:document,lettera
115,decid:send:cambodian:author:ask:underlin:episod:refer:overal:situat,lettera
116,happi:communic:concern:write:analys:specif:polit:situat:countri:detail:imposs:analys:debat:vote:parliament,lettera
117,presid:behalf:european:parliament:send:call:protect:worker:compani:european:owner:anglo:american:bhp:billiton:glencor:intern:colombian:author,lettera
118,barrot:affair:know:great:desir:stop:discuss:difficulti:commiss:given:got:right:think:borrel:hand-deliv:coupl:week:serious,lettera
119,sent:subject,lettera
120,presid:presid:intergroup:respons:tradit:nation:minor:inform:mep:presid:josep:borrel:assert:intergroup:support:legitim:request:catalan:colleagu:petit:catalan:languag:plenari:session,lettera
121,sent:formal:notic:greek:author:march:repli:date,lettera
122,long:polish:bishop:sent:famous:german:bishop:includ:phrase:forgiv:ask:forgiv,lettera
123,decemb:commission:kalla:sent:minist:financ:conven:meet:subject,lettera
124,felt:convict:undermin:moment:day:pass:receiv:thousand:length:breadth:europ:receiv:encourag:commiss:parliament:observ:protagonist:feel:disappoint:pass:determin,lettera
125,commiss:view:concern:relat:pre-:legisl:set:clear:formal:notic:decemb:public:document,lettera
126,question:perri:report:possibl:shortcom:omiss:regim:reiter:commiss:rais:number:question:formal:notic,lettera
127,doubt:rais:commiss:start:investig:issu:formal:notic:supplementari:formal:notic,lettera
128,context:come:consid:hand:rule:liber:economi:follow:hand:circumst:justifi:sort:regulatori:intervent:protect:communiti:interest,lettera
129,actual:fact:sent:april:question:threat:famin:niger,lettera
