id,phrase,classes
1,framework:condit:chang:helsinki:decis:thing:possibl:possibl:hitherto:polit:strategi:employ:parti:concern:chang:recognit,kadervoorwaarden
2,presid:engag:intens:discuss:member:parliament:parliament:entrust:task:negoti:council,aantal
3,commiss:parliament:help:understand:exact:deal:term:tourism:point:vicecont:report:ambigu:term:kind:variabl:depend:latitud:climat:opportun:seri:background:factor:synonym:holiday:true:area:product:incom:wealth:employ,uiteenlopende
4,far:harder:accept:fact:draft:direct:racial:discrimin:appli:broader:social:term:content:compris:stronger:legal:guarante:control:mechan:second:draft:direct:pipelin:design:fight:type:discrimin,terrein
5,madam:presid:recent:visit:jrc:ispra:serv:remind:first:great:good:work:wide:research:carri:second:histor:legaci:site:origin:nuclear:research:facil,terrein
6,difficult:achiev:compromis:council:minut:attempt:water:agreement:evid:ambiti:way:place:parliament:commiss:relationship:cooper:parliament:perform:monitor:function:line:prerog:commiss:task:add:primari:role:guardian:treati:propos:initi,kaderakkoord
7,today:parliament:unanim:spite:polit:affili:honour:memori:affirm:loud:clear:terror:antithesi:democraci,verstane
8,rapporteur:mrs:glase:right:state:report:fight:illicit:work:task:cut:polici:area:financ:economi:social:issu:labour:market:justic,glase
9,disagr:portion:brok:report:point:greater:import,afwijkende
10,contain:odd:contradict:text:give:opportun:draw:detail:customis:progress:report:negoti,contradictie
11,war:clear:number:innoc:suffer:distress:die:cours:women:children:old:total:defenceless:wide:situat,weerloos
12,item:report:lund:behalf:committe:environ:public:health:consum:polici:commiss:communic:council:european:parliament:communiti:strategi:endocrin:disrupt:substanc:suspect:interf:hormon:system:human:wildlif:com:cos,groep
13,present:report:put:forward:amend:point:address:interest:european:product:general:portugues:product,aantal
14,aim:target:curious:percentag:near:differ:member:state,variatie
15,wish:emphasis:advoc:idea:communiti:polic:method:employ:unit:kingdom:welcom:fact:british:idea:find:support:countri:so-cal:continent:europ,aantal
16,account:wide:vat:rate:necessari:rapporteur:right:propos:distribut:vat:revenu:fair:member:state:mean:clear,bandbreedte
17,person:tabl:amend:harmonis:vat:rate:correct:effect:unfair:competit:result:countri:oper:power:choos:come:regist:broad:vat:rate:avail:domest:oper:choic,variërend
18,plan:stage:draft:like:subject:modif:follow:wide:consult:way:involv:wide:stakehold,aantal
19,separ:relat:matter:quit:disturb:read:deplet:uranium:shell:fire:irish:sea:british:ministri:defenc:forc:solway:firth:england:scotland:cumbrian:coast:just:seven:mile:british:nuclear:plant,schietterrein
20,wish:firm:support:commiss:arm:initi:enabl:poorest:countri:world:export:limitless:product,onbeperkt
21,worth:note:justifi:request:matter:refer:committe:fact:light:shed:commiss:propos:mrs:müller:report:crucial:issu:author:basic:lie:refer:decis:european:court:justic:concern:line:demarc,terugverwijzing
22,commiss:report:look:close:issu:characteris:macao:daili:life:year:sar:exist,sar
23,biotechnolog:vast:sector:innoc:natur:ferment:agent:use:dawn:mankind:bread:beer:genet:engin:human:touch:essenc:mankind:intimaci:hered:leav:individu:bid:achiev:immort,gistingsbacteriën
24,commit:ensur:widest:opinion:valu:nurtur:express:consid:debat:increas:knowledg:improv:decis,uiteenlopende
25,contrari:swedish:presid:follow:nice:declar:fulli:activ:tri:stimul:import:debat:futur:european:union:wide:initi,initiatiefrijke
26,complex:lack:clariti:nice:treati:allow:huge:issu:tag:debat:irish:referendum:issu:relev:irrelev:nice:caus:concern:fear:result:huge:abstent:paltri:turnout:vote,aantal
27,report:presid:submit:european:council:gothenburg:describ:vast:initi:launch:member:state:candid:countri:institut:union,verscheidenheid
28,certain:sound:reason:have:explain:mean,bedoel
29,need:vietnam:continu:progress:countri:reform:programm:administr:learn:deal:wider:view:appreci:valu:accommod:dissent:govern,scala
30,propos:amend:improv:legal:certainti:busi:includ:widen:articl:chang:receiv:widespread:busi:support,reeks
31,applic:human:right:polit:social:econom:cultur:term:includ:cours:immigr,emigrant
32,wide:instrument:drawn:tobin:levi:tax:magic:wand:allow:deal:challeng:arisen,scala
33,council:follow:turkey:progress:close:commiss:submit:report:matter,dienaangaande
34,presid:ladi:gentlemen:thank:rapporteur:analys:technic:report:great:expertis:propos:editori:amend:support,aantal
35,aim:guarante:high:standard:safeti:provis:continu:healthi:price:servic:ratio,brede
36,fund:use:support:measur:includ:temporari:shelter:bed:cloth:blanket:water:sanit:medic:assist,scala
37,partnership:cooper:agreement:sign:countri:provid:uniqu:platform:cooper:broad:field:polit:dialogu:trade:invest:relat:civil:societi,aantal
38,addit:wide:affect:sector:europ:formal:relationship:commiss:regard:efrag:european:financi:report:advisori:establish,aantal
39,direct:give:consum:europ:support:legal:framework:attach:great:valu:product:safeti:respons:label:restrict:product:shop:supermarket:shelv,aanbod
40,know:moment:possibl:add:trust:calm:situat:say:european:union:problem:colombia:concern:advantag:distanc:furthermor:willing:shown:help:colombia:export:exampl:key:sector,aantal
41,conclud:action:commiss:ask:undertak:rapid:forward:propos:compens:affect:second:seek:resolv:disput:unit:state:quick:possibl:start:season:problem:unsolv:extrem:consequ:third:solut:unit:state:call:account:wto,reeks
42,first:acquaint:europ:social:democrat:histor:background:past:year:statement:divers:way:schulz:just,spectrum
43,view:hous:militari:need:contin,uiteenlopende
44,involv:widest:possibl:fora:intend:creat:local:dimens:addit:supran:nation:order:possibl:consid:citizen:need:earlier:stage,allerlei
45,realli:think:except:minimum:ensur:interest:parti:access:broad:inform,hoeveelheid
46,presid:want:thank:rapporteur:way:approach:complex:issu:willing:entertain:wide:reserv:committe:possibl:approach:efficaci:colleagu:mrs:van:brempt:work,aantal
47,final:analysi:improv:polit:way:bring:lisbon:object:achiev,beleidsmaatregel
48,visit:wiersma:sacrédeus:mrs:schröder:member:gaug:situat:shown:belarus:societi:vast:major:wide:social:polit:cultur:profession:forc:favour:democraci:valu:western:europ:strong:desir:posit:european:union,spectrum
49,honour:monetari:refer:valu:breach:month:allow:inflat:exceed:target,streefbereik
50,chang:lead:label:food:present:label,reeks
51,blokland:propos:doubl:ratio:upper:limit:levi:ratio:excel:expand:noisiest:aircraft:pay:nuisanc,domein
52,end:line:object:lisbon:strategi:propos:support:transform:employ:contract:perman:contract:greater:flexibl:defin:differ:group:worker:benefit:adapt:characterist:region:inclus:exempt:aid:aid:aim:promot:employ:women:final:extend:age:young:worker:final:stage:work:life:benefit,leeftijdsgrens
53,agreement:need:wide:issu:strategi:narrow:scope,scala
54,candid:countri:implement:direct:regul,implementeren
55,turn:turkey:countri:summer:enact:measur:set:motion:real:progress:rule:law:fully-fledg:democraci,aantal
56,read:wide:newspap:morn:pill:discov:enabl:live:age,talrijke
57,present:propos:design:deter:smoke:particular:children:adolesc:deserv:support,reeks
58,far:contradict:repress:polici:proactiv:polici:concern:feel:commiss:strive:present:propos:balanc:area,pakket
59,member:state:oblig:defin:common:sanction:appli:case:infring:regul:harmonis:sanction,sanctiestelsel
60,introduct:common:penalti:worri,scala
61,wide:measur:guarante:better:protect:field,waaier
62,remain:total:unclear:effect:mediterranean:baltic:sea:radar:shore:shore:anim:escap:nois,bereik
63,austrian:question:relat:alp:situat:similar:mountain:pyrene,bergketen
64,think:main:differ:lie:word:labour:market:reform:parcel:employ:strategi:wider:member:said:taxat:educ,bestrijkt
65,pleas:explain:studi:commiss:includ:impact:assess,effectenanalyse
66,morillon:report:contain:practic:propos:improv:defenc:capabl,reeks
67,voluntari:agreement:flexibl:agreement:legisl:instrument,wetgevingsinstrumenten
68,presid:ask:floor:hand:congratul:commission:vast:intellig:measur:adopt:oil:spill:ask:supplementari:question:vessel:clean:hull:real:scourg:portugues:coast,waaier
69,increas:diversifi:social:need:compound:budgetari:restrict:led:public:author:decentralis:provis:servic:reduc:level:servic:provid,hoeveelheid
70,european:histori:christian:crusad:crime:coloni:era:mention:horror:fascism,kruistocht
71,cours:pan-european,actief
72,instanc:anim:kept:extens:farm:condit:free:age:tag:extend:month:month:age:leav:hold:birth,open-weidesystemen
73,measur:cover:numer:sector:propos:refer:select:think:deserv:comment,reeks
74,believ:essenti:provid:inform:languag:just:english:french,taal
75,justifi:base:decis:sole:ice:argument:favour:replenish:stock:result:have:prohibit:fish:cod:fish:cours:thousand:fishermen:face:oblivion,reeks
76,rapporteur:propos:touch:broad:polici:promot:particip:women:world:new:technolog:polici:relat:workplac:busi:world:world:educ:right:point:order:achiev:object:women:need:particip:plan:decis:relev:polici,planning
77,econom:financi:monetari:instrument:order:appropri:manner,conjunctureel
78,point:expand:level:liabil:nuclear:oper:remain:case:unhappili:nuclear:power:travel:boat:subject:special:except:polluter-pay:principl:pollut:pay:quit:lot:necessarili:case,reikwijdte
79,basic:premis:measur:common:agricultur:polici:develop:way:take:special:condit:prevail:northern:agricultur:area:greater:consider,instrumentarium
80,hope:committe:start:consult:wide:interest:extrem:comprehens:propos,aantal
81,import:dossier:requir:close:cooper:satisfactorili:progress:avail,enkele
82,relax:arrang:appli:occup:activ:refer:period:generous,scala
83,presid:dundrennan:constitu:south-west:scotland:fire:deplet:uranium:shell:use:practic,testgebied
84,consult:confirm:outstand:institut:non-institut:issu:vari:complex:sensit:rais,reeks
85,issu:requir:wide:respons,reeks
86,work:examin:issu:view:identifi:addit:opportun:regard,reeks
87,applic:global:amount:accord:commerci:practic:accept:area:inclus:local:flight:measur:taken:aircraft:land:adequ:insur:cover:withdraw:oper:licenc:insur:cover:suffici,aantal
88,expect:bösch:produc:comprehens:report:deal:issu:relat:fraud:prevent:angl,serie
89,regard:know:parliament:think:parliament:insist:have:differenti:legal:framework:believ:promot:entir:polici:field:educ:cultur:vocat:train:scientif:technolog:cooper,visie
90,doubt:enrich:food:widest:possibl:countri:shelv:supermarket:consum:want:confid:product:safe:high:creat:condit,allerlei
91,quota:complex:work:compani:product:fit:conveni:step,productenmix
92,govern:bring:chang:requir:reach:lisbon:goal,eentje
93,adopt:flexibl:approach:enabl:member:state:wide:measur,scala
94,feel:possibl:accept:far:wider:situat:detriment:spirit:direct,verscheidenheid
95,ensur:parliamentari:committe:involv:follow-up,aantal
96,doubt:profession:compet:underlin:reassert:concern:relat:conflict:attach:mrs:kroe:direct:result:success:corpor:career:date,vele
97,accord:annual:report:ombudsman:present:date:busi:effect:aid:network:european:nation:local:ombudsmen:huge:issu:tax:provis:project:fund:rule:competit:discrimin:ground:gender:race:health:incom:reason:late:payment:contractu:disput:arbitrari:discrimin:lack:transpar:refus:institut:provid:access:inform,reeks
98,believ:stake:choos:self-confid:europ:deal:problem:challeng:face:difficult:relat:islam:world:immigr:last:differ:europ:start:negoti:light:ingenu:fulli:awar:polit:consequ:choos:europ:respect:catholic-christian:ident:curl:ball:think:best:defend:well-b:obtain:shut:challeng,meerdere
99,second:turkey:particip:numer:communiti:programm:wide:area:cultur:drug:justic:home:affair:educ:research:develop,scala
100,view:extens:provis:constitut:treati:europ:regard:converg:nation:legisl:area:crimin:materi:procedur:law:conclud:plan:singl:crimin:law:area:take:increas:clear:outlin,reeks
101,fund:pleas:report:project:offic:high:commission:human:right:pipelin:year,reeks
102,disappoint:result:end:half:essenc:attribut:widely-dispers:goal,uiteenlopende
103,context:commiss:look:project:includ:improv:manag:prison:treatment:detaine,scala
104,child:poverti:eu-wid:issu:touch:employ:social:polici,eu-brede
105,point:code:clarifi:previous:unclear:rule:deriv:legal:sourc,diverse
106,account:serious:problem:consid:entir:measur:need:taken:deal:situat,palet
107,anim:import:area:suffer:incred:tragic:diseas:kind:demonstr:environment:attack:immun,reeks
108,similar:understand:reason:lie:commiss:accept:amend:favour:reject:common:posit:amend:exclud:take:account:particular:vulner:risk:group:effect:interact:photosensit:substanc:amend:exclud:optic:radiat:natur:sourc:scope:direct,fotosensibiliserende
109,europ:present:outsid:rocket:middl:east:target:matter,bereik
110,first:judg:vote:draft:direct,reeks
111,just:china:like:produc:broad:industri:product,scala
112,alongsid:number:emerg:measur:need:taken:immedi:medium-:long-term:measur:adopt:order:ensur:eel:stock:recov:proper:manag,pakket
113,lack:precis:result:cost:distort:regul:appar:eur:billion:benefit:estim:eur:billion,variëren
114,report:cover:measur:aim:prevent:human:infect:accord:vote:favour,reeks
115,substanti:achiev,reeks
116,human:right:dimens:impact:increas:european:union:extern:relat:countri:world:human:right:dialogu:china:dialogu:iran:regrett:dialogu:round:year:hope:human:right:consult:russia:local:human:right:dialogu:level:head:mission:european:union:numer:countri:specif:develop:european:neighbourhood:polici,diverse
117,remain:convinc:basi:extens:consult:member:state:includ:level:head:govern:week:number:head:govern:came:london:bilater:contact:london:propos:remain:best:basi:agreement:council:subsequ:discuss:parliament,diverse
118,committe:industri:disappoint:propos:committe:introduc:fix:harmonis:mandatori:size:stapl:product:previous:harmonis,reeks
119,offer:incent:increas:competit:european:industri:develop:instrument:refer:lisbon:strategi,reeks
120,welcom:fact:recognis:barrier:provis:servic:abolish:cours:permit:restrict:well-defin:public:polici:ground,aantal
121,order:respond:quick:effect:emerg:dispos:instrument:regul:develop:stage,reeks
122,suffici:fund:avail:certain:fund:wide:project:touch:group,scala
123,second:agre:corrupt:complex:phenomenon:need:address:differ:measur,scala
124,consid:figur:just:accept:toler:limit:expect:differ:great:measur:toler:expect:high,meetgebied
125,citi:face:problem,vele
126,regard:intern:question:point:recent:month:progress:achiev:issu,aantal
127,opportun:forward:regul:exist:legisl:equal:pay:direct:direct:implement:principl:equal:treatment:men:women:occup:secur:scheme:direct:implement:principl:equal:treatment:men:women:regard:access:employ:vocat:train:promot:work:condit,reeks
128,emphasis:structur:obstacl:prevent:achiev:just:societi,reeks
129,presid:presid:commiss:madam:vice-presid:commiss:ladi:gentlemen:day:hour:austrian:council:presid:experi:high:point:shape:european:council:opportun:address:discuss:issu:presid:attend:lay:result,serie
130,asid:stimul:cross-bord:competit:diversifi:product:servic:investor:access:market:firm:tap,scala
131,report:indic:measur:approv:guarante:similar:discrep:recur,scala
132,pave:way:wide:polici,scala
133,amend:highlight:point:commiss:origin:version:establish:measur:target:fund:action:vari:region:benefit:fund:converg:object:region:came:competit:employ:object,aantal
134,equal:import:requir:envisag:consortium:ensur:comprehens:high:support:servic,reeks
135,expertis:issu:relat:intern:stabil:china:want:help:instanc:energi:environ:region:integr:public:health:exploit:fulli:possibl,scala
136,wish:thank:organis:sector:staunch:protect:fisheri:worker:sector:help:report:includ:propos:feel:address:social:econom:crisi:face:sector,aantal
137,market:predomin:structur:smes:differ:applic:biocid:product:make:possibl:cater:individu:market,marktbediening
138,regard:absolut:essenti:point:technolog:assess:help:broaden:instrument:avail:technolog:forecast,instrumentarium
139,europ:hand:life:banner:environment:protect:programm:certain:doe:structur:fund:use:restor:protect:environ:experi:year:shown:project:financ:life:produc:great:valu:especi:term:demonstr:exampl,draagwijdte
140,custom:allow:choos:suitabl:replac:part:long:meet:relev:technic:safeti:specif,reeks
141,elector:matter:come:discuss:parliamentarian:temptat:wide:far:irresist:certain:plead:guilti:have:resist:occas:past:far:commiss:posit:concern:taken:broad:posit:relat:aspect:point:rais:honour:gentleman:spoken:underlin:view:simpl:question:introduct:uniform:elector:think:desir,weerstaan
142,cover:union:activ:eastern:europ:soviet:union:middl:east:mediterranean:africa:latin:america,reeks
143,provid:strong:leadership:clear:vision:europ:complex:issu:drug:crime:difficult:prepar:enlarg,waaier
144,achiev:essenti:revolutionari:fiscal:measur:possibl:ensur:suffici:incom:home:allow:member:flexibl:option,keuzemogelijkheid
145,inclus:treati:need:follow:respons:wide:children:issu:coordin:singl:commission:unit:commiss,waaier
146,mrs:mouskouri:report:hit:nail:head:regard:council:decis:arian:programm:reminisc:tromp:oeil:techniqu:absolutist:architectur:paint:window:afford:real:just:make:budget:cut:minor:item:undermin:function:item:substanti:extend:task:earmark:potenti:applic,aantal
147,involv:wide:polit:instrument:compar:tradit:instruct:control:method,waaier
148,parliament:say:question:relat:certain:content,reeks
149,partner:busi:word:differ:possibl,vennoot
150,remind:ring:declar:import:parliament:activ:famous:umpteenth:resolut:racism:xenophobia:adopt:memor:thursday:afternoon:vote:actual:fact:express:opinion:doe:thursday:afternoon:vari:care:consid:subject:european:parliament:undermin:credibl,donderdagnamiddag
151,clear:consensus:need:emerg:wide:institut:organ:individu:nation:govern:institut:committe:trade:union:busi:profession:associ:health:board:nation:european:voluntari:bodi,reeks
152,object:includ:cost:benefit:analysi:necessari:especi:complex:legisl:propos:relat:wide:busi:activ,gamma
153,remind:hous:term:biocid:refer:wide:product:includ:disinfect:insecticid:fungicid:preserv:wood:treatment:textil:structur:materi,uiteenlopende
154,tourism:polici:broad:area:give:legal:basi:open:possibl:bring:wide:concern:legal:basi,waaier
155,normal:framework:normal:option:use:work:european:union,afspraak
156,europ:million:children:particular:protect:freedom:movement:good:capit:servic:europ:inheritor:market:fashion:need:citizen:carri:europ:dynam:prosper:job-ful:realm:centuri,banen-rijk
157,presid:commission:month:discuss:legisl:foodstuff:wide:area:member:state:unabl:chicori:extract:cover:vertic:direct:differ:legal:basi:compar:jam:fruit:juic:sugar,suikersoorten
158,thank:vast:activ:opportun:offer:young:teacher:increas:tenfold:consequ:real:sens:european:ident:develop,waaier
159,apart:fail:relat:recipi:countri:rest:catalogu:fail:unfortun:read:exact:catalogu:fail:european:institut:commiss:reproach:context:subject:grant:aid:year:includ:lack:clear:decision-mak:procedur:excess:scatter:resourc:project:excess:technic:counterproduct:effort:involv:local:partner:lack:technic:expertis:commiss:relat,projectleider
160,sanction:exist:member:state:fine:minor:offenc:drive:disqualif:offenc,variëren
161,shall:end:prolifer:requir:differ:direct:assist:origin,allerlei
162,tunisia:fact:mediterranean:countri:sign:agreement:establish:polit:dialogu:allow:parti:discuss:open:polit:issu:includ:human:right,reeks
163,europ:just:privat:sector:wider:experi:ignor,talrijke
164,especi:concern:fact:product:suscept:taxat:expand:danger:cover:varieti:essenti:good:good:wide:consumpt:water:transport:construct:chemic:pesticid:fertil,waaier
165,polici:prevent:climat:chang:necessit:redefin:european:polici:energi:manag:possibl:sector:object,reeks
166,sustain:solvenc:insur:compani:crucial:issu:reassur:consum:matter,solvabiliteit
167,singl:parent:famili:repres:rais:entir:equal:opportun:issu,scala
168,goe:say:believ:way:disappoint:middl:way:tri:combin:posit:effect:polici:drug,type
169,member:state:institut:respons:absolut:serious:honour:initi:convent:adopt:field:intern:year:best:declar:level:valu,waardeloos
170,just:month:adopt:measur:clercq:report,reeks
171,measur:financ:allow:train:stage:encapsul:packag:integr:action:gear:facilit:entri:return:work,waaier
172,rapporteur:bernard-reymond:say:fair:report:romania:experienc:difficulti:probabl:move:far:road:access:hope,reeks
173,develop:independ:european:initi:goe:far:opinion:exampl:come:promot:educ:train:opportun:young:countri,allerlei
174,point:rule:state:report:committe:shall:place:head:agenda:sit:follow:day:tabl:case:report:wibe:place:item:today:agenda:follow:report:committe:women:right,serie
175,want:creat:addit:incent:instanc:ten-year:market:exclus:right,reeks
176,option:equal:effect,reeks
177,propos:amend:committe:agricultur:list:possibl:action:best:public:safeti:hygien:label:respect:environ:characterist:communiti:product,aantal
178,awar:plastic:materi:increas:use:motor:industri:uniform:test:standard:allow:design:concentr:meet:singl:standard:instead:have:divert:effort:meet:differ:standard,reeks
179,creat:mechan:cover:spectrum:crisi:manag:instrument:strict:humanitarian:civil:extrem:relat:close:militari:aspect,scala
180,final:congratul:main:rapporteur:jean-loui:bourlang:excel:work:obvious:continu:thank:chairman:committe:budget:terenc:wynn:good:construct:cooper:divers:support:gave,vele
181,work:close:portugues:ngos:initi:propos:framework:portugues:presid:combin:wide:concern:underpin:programm,aantal
182,know:chang:situat:women:underrepres:scienc:sector:mean:polici:educ:guidanc:systemat:encourag:greater:career:choic:girl:obtain:degre:mean:posit:measur:profession:level,keuze
183,tourism:thought:good:servic:requir:individu:move:habitu:resid:confer:mobil:characterist:featur:contemporari:societi,geheel
184,norway:longer:experi:compulsori:cull:abandon:year:measur:led:dramat:improv:situat,pakket
185,environment:label:signal:countri:import:environment:concept:advers:effect:environ:reduc:manufactur:product:group:common:goal:environment:friend:consumpt:promot:relev:intern:standard:observ,productgroepen
186,interven:case:clear:transpos:communiti:dimens:issu:recours:countri:fulli:respect:human:citizen:right,reeks
187,accept:amend:problem:under:messag:worth:convey:current:product:need:review:ensur:issu:continu:dealt:discuss:manag:committe:milk:milk:product,productenpakket
188,regard:health:warn:presid:given:wish:regard:warn:size:decid:favour:maintain:percentag:quot:european:commiss:consid:compromis,verschillende
189,wide:communic:tool:argument:decis:present:substanc:similar:summari:minut,scala
190,prioriti:french:presid:draw:list:public:debat:cover:wide:subject:adopt:perman:repres:committe:corep:juli,scala
191,question:remain:realli:want:cut:organis:european:union:import:support:drug:project:includ:region:use:approach:specif:area:general,verschillende
192,instead:concentr:correct:carri:vast:task,veeleer
193,lead:choic:support:know:survey:nation:consum:council:particular:member:consum:suffici:trust:confid:new:technolog:shop:on-lin,keuzemogelijkheid
194,option:deploy:rapid:reaction:forc:exist:crisi:manag:mission:petersberg:mission:defin:articl:treati:european:union:humanitarian:evacu:mission:peacekeep:mission:combat:troop:mission:crisi:manag:includ:peacemak:mission,spectrum
195,great:britain:moment:decid:protect:nation:heritag:pound:sterl:young:age:wish:pound,sterling
196,situat:cours:wide:tradit:deepli:root:legal:system:distinguish:primarili:extraordinari:differ,aantal
197,awar:concern:hors:industri:particular:thoroughbr:industri:remind:commission:up-to-d:therapi:avail:real:risk:foreign:invest:stud:train:establish:europ:lost:countri,aanbod
198,hard:surpris:no-dong:no-dong:weapon:kilometr:sold:iran:syria:pakistan:north:korean:give:militari:aid:congo:iran:ethiopia:syria,bereik
199,just:work:build:site:fall:build:scaffold:differ:industri,spectrum
200,propos:direct:label:supplementari:pension:second:pillar:seen:realli:financi:servic:product:cover:second:pillar,spectrum
201,appear:reform:chanc:pomé:ruiz:mention:financi:regul:speak:just:castl:air:talk:year:feel:propos:rais:difficulti:problem,reeks
202,aim:packag:watson:propos:harmonis:law:regul:improv:judici:assist:creation:european:search:arrest:warrant:provis:compens:victim:member:state:european:union:combat:familiar:form:terror:appli:new:form:terror:introduc:summit:meet:fear:resurfac:similar:event:futur,maatregelenpakket
203,hand:motion:resolut:use:pretext:address:question:bear:whatsoev:temporari:committe:real:task,uiteenlopende
204,welcom:emphasi:look:european:valu:scatter:limit:fund:research:carri,scala
205,pleas:white:paper:follow:legisl:propos:commiss:look:forward:great:see,serie
206,face:wide:barrier:includ:differ:form:discrimin,scala
207,cooper:strengthen:sector,diverse
208,doe:need:fine-tun:framework:singl:market:stabil:pact:econom:constitut:countri:itali:did:lack:broad:embrac:conflict:contradict:transpar:option:left:individu:countri:decid,contra-indicaties
209,felt:oblig:vote:napolitano:report:acknowledg:resolut:reflect:posit:concern:role:nation:parliament:exercis:control:govern:especi:govern:involv:defin:implement:european:polici:produc:polici,verslag-napolitano
210,russian:govern:rais:issu:problem:access:cross-bord:travel:energi:suppli,reeks
211,applic:countri:substanti:progress:meet:copenhagen:criteria:regard:transposit:legisl:implement:new:european:regul:direct:cover:wide:econom:social:sector,scala
212,issu:tabl:long:role:china:far:east:relat:asem:countri:part:asia:intern:polit:situat:polit:trade:cultur:relat:european:union,handelspolitieke
213,commiss:advantag:packag:present:parliament:good:review:legal:conceptu:criteria:hygien:safeti,maatregelenpakket
214,lent:polit:weight:diplomat:effort:presid:declar:contact:parti:involv:support:general:zinni:mission:week:cours:support:mission:region:american:secretari:powel:visit:ground:take:today,faveure
215,relat:ineffectu:area:far:especi:come:implement:parliament:initi:issu:compani:e-learn:area:believ:realli:step:pace,aantal
216,report:refer:contain:specif:chapter:dedic:case:discretionari:budgetari:polici:use:read:report:opinion:use:specif:case:affect:just:countri:limit:circumst,aantal
217,agre:interest:consum:huge:possibl:common:market,waaier
218,reform:modul:upper:moot:differ,segment
219,group:risk:sever:social:exclus:technic:barrier:face:use:internet,reeks
220,glad:propos:submit:confeder:european:unit:left:nordic:green:left:incorpor:report:exampl:emphasi:need:provid:fund:promot:smes:increas:share:co-fin:order:account:calamit:gap:term:develop,aantal
221,final:commiss:work:integr:csr:principl:european:union:polici:employ:social:affair:enterpris:develop:trade:public:procur,alle
222,activ:mention:said:parliament:know:taken:note:countri:wish:cooper:particular:sound:basi:activ:get:way:danish:presid,opstarten
223,perman:educ:sweep:term:teach:correct:manner:technic:train:cours:infant:educ:univers:cours,kleuteronderwijs
224,industri:servic:sector:cut:accept:farmer:expect:vagari:world:market:price:current:rock:commod,inkomensdaling
225,agreement:appar:reach:issu:base:demand:iraq:secur:council:resolut:adopt,aantal
226,terror:need:address:polici:instrument:militari:forc,scala
227,vote:favour:entir:propos:aim:establish:appropri:compens:tariff:disrupt:suffer:passeng:result:overbook:practis:airlin:polici:impos:clearly-defin:respons:carrier,welomlijnde
228,categori:prioriti:project:encompass:energi:network:project:quit:signific:impact:complet:intern:market:design:improv:secur:suppli,energienetwerkprojecten
229,includ:issu:includ:extens:qualifi:major:vote:council:level:re-weight:vote:council:extens:codecis:measur:european:parliament:reform:european:commiss,reeks
230,ideal:review:went:disguis:step:backward:instead:achiev:genuin:modul:redistribut:accord:criteria:crucial:employ,reeks
231,let:concern:good:servic:avail,aanbod
232,nonetheless:therapeut:valu:drug:plant:origin:recognis:forgotten:improp:rise:undesir:serious:toxic:effect:afraid:lethal,reeks
233,victim:traffick:human:victim:abus:crimin:practic,waaier
234,degre:given:treatment,scala
235,thing:mind:temporari:committe:foot:mouth:diseas:engag:intens:problem:associ:epidem:includ:effect:public:economi,epidemieproblematiek
236,regard:consult:procedur:suffici:traumatis:number:propos:clear:differ:interest:european:societi,reeks
237,european:union:final:interven:wide:option:prefer:prevent:conflict:necessari:manag:crise,palet
238,commiss:task:prevent:unfair:competit:state:busi:social:actor:program:period:structur:fund:provid:prevent:measur:rehears:briefli,programmaperiode
239,nigeria:focus:countri:european:initi:democraci:human:right:project:support:government:judici:reform:short:adopt,aantal
240,emphat:urg:map:current:situat:involv:candid:member:state:achiev:target:approach:school:lag:huge:increas:option:avail,scala
241,convent:prohibit:product:traffic:sale:consumpt:wide:substanc:medic:scientif:purpos,aantal
242,follow:accid:impress:quantiti:resourc:includ:oil-comb:vessel:kilometr:boom:specialis:surveil:aircraft:dispos:nation:compet:author:affect,diverse
243,cut:broad:union:polici,talrijke
244,view:chang:situat:angola:strateg:import:region:intern:level:prioriti:develop:polici:contribut:consolid:peac:develop:democraci:reconstruct:countri,gediversifieerd
245,summari:brussel:outsid:ankara:military-polit,blikveld
246,hand:look:realiti:situat:realiti:indonesia:mistak:tri:solv:problem:over-popul:island:bali:java:sumatra:come:known:transmigr:polici:word:tri:resettl:island:island:differ:cultur:histor:make-up:outvot:popul:group:led:ethnic:religi:conflict,reeks
247,hoc:approach:cultur:offer,mogelijkheid
248,press:concern:disappear:chang:intern:train:identifi,aanbod
249,report:adopt:decemb:cover:wide:issu:includ:origin:distribut:foie:gras:product:practic:rear:force-feed:behaviour:duck:gees:consequ:force-feed:welfar:indic:socio-econom:aspect:improv:welfar:anim:use:foie:gras:industri:research,scala
250,last:regret:fund:action:limit:reveal:ongo:lack:respect:work:undertaken:promot:equal:right:women:opportun:huge:field,uiteenlopende
251,presid:feel:propos:direct:debat:even:regard:prevent:remedi:environment:damag:import:develop:liabil:base:pollut:pay:principl:damag:like:caus:econom:activ:natur:heritag,aantal
252,awar:gone:offens:debat:export:subsidi:propos:form:export:subsidi:product:import:develop:countri:allow:expir,serie
253,signific:progress:jha:issu:includ:legisl:measur:oper:cooper:complianc:tamper:european:council:conclus:mandat:subsequ:european:council,reeks
254,text:cover:firm:busi:definit:systemat:internalis:possibl:jeopardis:over-the-count:tradit:wholesal:trade,beleggingsonderneming
