id,phrase,classes
1,spite:increas:million:relat:initi:propos:person:deplor:fact:fund:alloc:ambit:express:concern:save:money:display:council:situat:rude:contrast:declar:favour:safeti:energi:suppli:job:creation:environment:protect:challeng:just:signific:face,hauteur
2,context:committe:regret:paltri:fund:allot:rural:develop:support:amend:call:increas:budget:communiti:initi:previous:leader:leader:initi,adéquation
3,biggest:challeng:come:essenti:effort:task:commiss:resourc:commiss:confront:hous,aligner
4,need:programm:educ:best:practic:europ,correspondant
5,awar:grow:problem:ozon:europ:prepar:standard:set:usa:great:commerci:rival:great:shame:sorri:reflect:commit:environment:improv,atteindre
6,support:portug:king:baudouin:stadium:brussel:franc:won:end:said:franc:better:team,match
7,unfortun:far:goalless:excit,match
8,council:proceed:second:read:budget:take:account:agreement:conclud:deleg:parliament:ever-pres:desir:vote:budget:enabl:fund:european:union:prioriti:budget:real:need:true:abil:appropri,correspondant
9,sticker:mrs:lindh:suit:perfect,autocollant
10,ladi:gentlemen:draft:decis:propos:member:formal:establish:design:police-run:nation:footbal:inform:centr:singl:central:direct:point:contact:author:polic:forc:member:state:respons:ensur:secur:intern:footbal:competit:intern:dimens,match
11,tabl:mark:forrest:constitu:convict:belgium:euro:british:intellig:servic:offer:video:evid:belgian:author:show:walk:away:problem:violenc,match
12,commiss:consid:current:junctur:formula:best:need:like:achiev:posit:result,correspond
13,special:arrang:defin:sixth:direct:find:increas:difficult:current:need:sector,adapter
14,way:common:agricultur:polici:ambit:area:develop:aid,ambition
15,clear:order:achiev:goal:necessari:bargain:nation:level:bargain:compani:level,associer
16,pursu:prioriti:context:prioriti:set:parliament,rencontrent
17,second:adapt:fleet:capac:fish:avail,ressource
18,support:want:want:begin,match
19,provid:financi:mean:necessari:polit:choic,répondre
20,term:combat:terror:spread:weapon:mass:destruct:european:union:realli:unit:state,taille
21,european:union:fail:great:ambit:resourc:target:set,hauteur
22,regrett:western:europ:devot:attent:histor:fact:year:offici:go-ahead:given:hand:eastern:european:peopl:soviet:occup:dictatori:communist:regim:certain:nazi:term:horror:crime,envier
23,way:countri:predomin:hilli:landscap:yield:hectar:favour:condit:farm,égaler
24,wholli:agre:shall:discreet:budget:line:baltic:sea:strategi:balanc:success:work:eurom:polici:obvious:histor:predat:work:baltic,inspirer
25,compromis:registr:sign:socialist:liber:demonstr:european:parliament:circumst:respons:decis:regard:citizen:industri,face
26,given:number:thing:mention:regist:carri:discuss:tomorrow:morn:rate:progress:bad,parviens
27,lisbon:object:want:europ:dynam:competit:knowledge-bas:economi:scienc:technolog:innov:play:fundament:role:particip:women:field:level:far:men,inférieure
28,outcom:strong:effect:legisl:demonstr:european:union:capac:word:concret:deed:climat:polici,traduire
29,princip:object:end:bskyb:longstand:monopoli:concern:broadcast:live:premier:leagu:think:object:achiev,match
30,cut:choos:watch:team:coupl:want:watch,match
31,presid:commission:ladi:gentlemen:gone:watch:footbal:wish:play:elector:district:beauti:ruhr:forgotten:vener:direct:consid:undivid:attent:work:hous:allow:second:footbal:footbal,match
32,barroso:countri:good:tonight:best:team:win,match
33,giant:ambit:size:afford:neglect:territori:meet:object:set,ambition
34,india:resolv:bolster:promis:helsinki,afficher
35,import:ensur:polit:ambit:financi:status:largest:global:donor,diapason
36,hand:say:govern:reduc:deficit:taxat:increas:spend:order:european:money,préparer
37,plan:mnf:role:evolv:chang:circumst:eastern:zair:deploy:proceed:step-by-step:basi:context:overal:object:facilit:deliveri:humanitarian:assist:order:voluntari:repatri:refuge:displac:person,adapter
38,presid:record:state:note:mean:minut:cantona:presid:associ:international:des:footballeur:professionel:appreci:present:anti-rac:madrid,match
39,inform:close:interrel:extent:intens:behaviour:chang:need:accuraci:avail:scientif:data,correspondre
40,catch:crimin:carri:trade:need:cross-bord:work:intern:cooper,attaquer
41,french:author:propos:ticket:alloc:footbal:world:cup:limit:worldwid:sale:just:total:ticket:ticket:restrict:french:market,match
42,global:produc:signific:chang:market:make:easier:suppli:demand:establish:new:econom:frontier:new:technolog:risk:favour:econom:interest:suppress:civil:social:right:develop:countri,rencontre
43,case:conclus:ask:prevent:black:market:form:french:sell:ticket:belgium:netherland:game:time:price:bought:unaccept,match
44,issu:express:document:clear:budget:doe,hauteur
45,speak:adapt:import:issu:question,proportionnel
46,better:declar:object:method:use:achiev:precis:definit:task:requir:commiss:help:socrat:success,adéquation
47,practic:term:sum:far:time:econom:social:cohes:present:point:honour:held:heat:debat:resourc:earmark:ambit,ambition
48,happi:studi:carri:result:vision,plaisent
49,opportun:advantag:socrat:programm:educ:opportun:continu:educ:futur:contribut:europ:grow:recognis:cours:educ:set:fast:pace:moment:develop:programm:pace:hand,suivre
50,aspir:action:year:ahead:make:unpreced:contribut:futur:european:union:heard:today:enjoy:widespread:support:european:parliament,assortir
51,autonom:region:countri:fund:european:structur:fund:increas:make:concomit:reduct:central:fund:region:total:fund:packag:avail:formula:set:nation:regard:quantum:structur:fund:grant:union,corresponde
52,possibl:european,obtenir
53,true:tunisia:doe:idea:democraci:countri:world:europ:live:idea:democraci:accord:democrat,correspond
54,council:attitud:year:difficult:negoti:insuffici:trust:polit:pledg:financi:pictur,adéquat
55,real:embassi:sort:unit:state:embassi:especi:area:european:union:bear:respons,mesurer
56,budgetari:author:repeat:stress:resourc:prioriti:realist:futur,assortir
57,scope:addit:assist:progress:dprk:author:notabl:term:access:vulner:popul:improv:work:condit:non-government:organis,rpdc
58,multi-million:euro:question:word:french:commiss:presid:got:mean:ambit,ambition
59,crucial:commiss:pledg:scale:catastroph:struck:mongolia,hauteur
60,second:point:mention:concern:globalis:note:sclerot:effect:congress:legisl:discov:end,sclérosant
61,think:know:reason:knacker:say:physic:exhaust:follow:footbal:afternoon:british:labour:member:british:conserv:member:labour:member:won:goal,match
62,provid:appropri:aid:popul:affect:accid:assist:did:scale:damag,hauteur
63,clear:commiss:look:interest:issu:era:globalis:pass:point:trade:polici:judg:footbal:win:complet:indiffer:thing,football
64,tragic:european:council:europ:urgent:need:rhetor:lisbon:bring:area:legisl:complet:soon,répondre
65,crucial:test:barcelona:european:parliament:circumst,hauteur
66,unfortun:especi:intern:stage:unaccept:aggress:riot:violenc:act:scant:regard:sport:principl:respect:person:properti,match
67,act:actual:footbal:violenc:fall:remit:judiciari:sport:bodi:organis:footbal,rencontre
68,violenc:footbal:organis:orchestr:nowaday:frequent:use:sport:common:crime:sell:drug:launder:dirti:money:accord:investig:carri:britain,stade
69,deprez:report:suppos:intend:deal:problem:violenc:intern:footbal,match
70,attempt:deal:problem:use:polic:suppress:violenc:footbal:mere:excus:trampl:person:democrat:right:freedom:citizen:underfoot,stade
71,citizen:concern:polici:fund:concern,correspondre
72,shadow:thousand:children:valuabl:day:make:ball:use:footbal,match
73,cooper:financi:fao:specif:project:programm:continu:compet:valu:profession:excel:prioriti:object:communiti:develop:polici,décèlerons
74,speaker:mention:need:coordin:broad:econom:polici:regard:employ:strategi:ensur,concordent
75,result:adjust:load:need,correspondre
76,doubt:realis:point:sole:aim:matter:involv:turkey:ensur:european:union:perimet:nato:clamour,périmètre
77,fact:regard:definit:term:famili:solut:adopt:sens:doe:valu:hold:dear:especi:amend:spous:regardless:sex:unmarri:partner:live:regardless:sex:facto:union:applic:durabl:relationship:regist:term:relev:nation,correspondent
78,view:report:repres:out-of-d:agricultur:polici:doe:condit:need:modern:global:societi,répond
79,did:afghanistan:iraq:put:trust:militari:strength:european:union,mesurer
80,want:radic:reform:relat:directorates-gener:commission:scrutinis:propos:requir,respectent
81,result:propos:contain:laeken:declar:mayb:exceed:expect,correspond
82,madam:presid:rise:ask:join:express:concern:turkish:judici:author:delay:bring:trial:person:involv:affray:took:galatasaray:turkey:occas:footbal:leed:unit:april,match
83,interest:neoliber:capit:unit:right:social:democrat:europ:interest:individu:nation:intern:allianc:econom:group:franco-german:interest,franco-germaniques
84,talk:offici:washington:prepar:commit:appropri:level:resourc,combiner
85,ladi:gentlemen:honour:member:european:parliament:remain:assur:appli:abil:reason:passion:high:institut:strateg:posit:entrust,hauteur
86,greek:mep:thank:host:recent:footbal:championship:portug:congratul:digniti:accept:outcom:final:greec:portug:wish:digniti:cope:european:parliament:vote:european:commiss,grèce-portugal
87,need:resourc:new:financi:perspect:ambit:endeavour:meet:commit:relat:unit:nation:millennium:declar:monterrey:commit:develop:aid,hauteur
88,count:scoreboard:point:award,match
89,footbal,match
90,set:exampl:countri:world:follow,imiter
91,presid:fear:import:debat:financi:perspect:breed:frustrat:council:propos:shoestr:budget:doe:europ:ambit,hauteur
92,hope:debat:underway:contribut:effort,hauteur
93,urg:presid:special:respons:member:state:courag:determin:reach:deal:ambit,hauteur
94,implement:lisbon:strategi:chanc:intens:day-to-day:activ:deadlin:complet,correspondre
95,commiss:council:ensur:presenc:euro-mediterranean:parliamentari:assembl:circumst:previous:meet:present:like:request,hauteur
