id,phrase,classes
1,polici:agenda:commiss:set:key:principl:rural:develop:polici:base:recognit:multifunct:agricultur:need:integr:strategi:develop:rural:area,dokument
2,especi:attract:creativ:possibl:signal:regard:prospect:white:spring:address:issu:govern,weißbuch
3,commission:far:said:region:polici,papier
4,basi:scoreboard,papier
5,somewhat:upset:mention:branch:economi,papier
6,white:product:contribut:commiss:staff:knew:commiss:undergo:substanti:reform:order:internationally-admir:institut:heart:european:histori,weißbuch
7,white:put:reform:proper:polit:context,weißbuch
8,second:question:ant:post:audit:procedur:understand:correct:opportun:wade:unanim:decis:commiss:empow:directorates-gener:liber:ant:visa:strong:post:independ:centralis:audit,papier
9,recognis:white:liabil:effect:pollut:identifi:damag:quantifi:clear:causal:connect,weißbuch
10,want:set:clear:exampl:european:govern:administr:communic:e-mail:instead,elektronisch
11,hous:member:rememb:refer:white:syndrom:say:remark:initi:instig:jacqu:delor:torn:shred:account:ecofin,weißbuch-syndrom
12,allianc:fact:given:excel:contribut:romano:prodi:commiss:just:prepar:lisbon:summit,dokument
13,white:shall:probabl:wait:long:direct,weißbuch
14,fair:substanti:proport:immigr:worker:regard:have:proper:depriv:legal:exist,aufenthaltspapier
15,ambiti:clear:defin:object:european:level:order:given:commiss:white:energi:electr,weißbuch
16,today:council:taken:offer:congratul:conclus:congratul:presid:prodi:way:commiss:leadership:contribut:council:success:time:present,dokument
17,share:view:prais:mrs:wallström:promis:hear:european:parliament:present:white:environment:liabil,weißbuch
18,know:issu:white:environment:liabil,weißbuch
19,hope:prepar:white:basi:broad:consult:differ:parti:concern:say:parti:involv:mean:young,weißbuch
20,conclud:emphasis:fact:consult:particular:regard:young:one-off:exercis:public:white:constitut:second:stage:dialogu:parti:involv:dialogu:establish:perman:basi,weißbuch
21,green:publish:develop:institut:vertic:distribut:restraint:gone:phase:includ:recent:adopt:new:regul:applic:articl:treati:categori:vertic:agreement:concert:practic,grünbuches
22,provid:comprehens:set:total:number:senior:offici:nation:commiss:total:number:grade:staff:nation:commiss,besoldungsgruppe
23,intern:reform:say:white:procedur:agre,weißbuch
24,green:cours:good,grünbuch
25,jacqu:delor:spelt:white:need:reinvent:thought,weißbuch
26,think:just:piec:say:wonder,papier
27,unfortun:communic:white,weißbuch
28,allow:assess:merit:follow-up:communic:refin:updat:earlier:plan:order:account:new:subject:light:recent:chang:acceler:key:measur:present,schlüsselmaßnahmen
29,think:chosen:good:approach:issu:recent:month:discuss:commiss:work,arbeitsdokument
30,come:month:look:care:white:food:safeti,weißbuch
31,appar:commiss:discuss:member:state:inform:parliament,dokument
32,ombudsman:inform:way:inform:europol:need:compli:recommend:commit:presid:prodi:decemb:make:avail:juli:implement,übernommene
33,futur:green:suppli:contribut,grünbuch
34,countri:strategi:practic:tool:improv:donor:coordin:complementar:overal:coher:develop:cooper:polici:polici,länderstrategiepapiere
35,council:consid:draft:suitabl:order:includ:communiti:custom:code:point:green:current:convert:rule:specif:combat:fraud,grünbuch
36,know:novemb:commiss:parliament:joint:organis:confer:reform:freiburg:confer:propos:precis:resolut:white,weißbuch
37,request:commission:lami:make:emerg:statement:hous:avoid:parliamentari:scrutini:known:arm,dokument
38,presid:ladi:gentlemen:white:food:safeti:laid:firm:basi:better:food:futur:hope:environmentally-friend:people-friend:product:food,weißbuch
39,presid:repres:european:liber:democrat:thank:commiss:sincer:white:ambiti:object,weißbuch
40,measur:propos:white:flesh:number:point:order:guarante:food:safeti:restor:consum:confid,weißbuch
41,let:say:glad:parliament:final:deliv:opinion:import:subject:regret:month:european:commiss:present:white:januari:year,weißbuch
42,direct:taken:white:want:european:agenc:scientif:point:refer:union:page,weißbuch
43,problem:locat:author:brussel:right:commiss:servic:perfect:respons:sic:wish:recommend:white,weißbuch
44,europ:vanguard:environment:polici:want:maintain:credibl:propos:white:today,weißbuch
45,accord:commiss:green:inciner:pvc:wast:give:rise:number:problem,grünbuch
46,approach:present:european:commiss:period:month:green:examin:framework:supplementari:health:insur:scheme:propos:appropri:legisl:initi:call:commiss:commission:awar:involv:consider:work,grünbuch
47,new:propos:green,grünbuch
48,today:green:tomorrow:intrus:damag:legisl,grünbuch
49,annex:commiss:propos:includ:indic:target:regard:nation:level:consumpt:green:electr:necessari:achiev:total:quota:european:union:accord:object:laid:white,weißbuch
50,hope:express:european:bodi:institut:follow:commiss:exampl:grant:job:applic:access:correct:test,prüfungsarbeit
51,addit:regard:victim:compens:commiss:submit:green:year,grünbuch
52,treat:shabbili:nice:revers:parliament:case:european:court:justic:know:shall:correct:week:just:wast:resourc:help:protect:environ:use,papier
53,know:commiss:subject:releas:delay:day:danish:referendum:euro,dokument
54,subject:thessaloniki:underground:rail:year:thessaloniki:underground:rail:infrastructur:project:design:promot:sustain:econom:develop:citi:unfortun:exist:csf:local:newspap:ministri:environ:region:plan:public:work,papier
55,highest:level:support:order:amount:half:time:lowest:level:practic:appear:number:member:state:give:extra:hand-out:maritim:industri:non-transpar:manner,papier
56,consid:fisheri:polici:actual:aspect:need:chang:number:level:regard:debat:forward:initi:point:base:situat:region:indic:expect:green,grünbuch
57,shall:return:blank:ballot:moratorium:deplet:uranium:posit:step:right:direct:mean:war:intern:illeg:bomb:similar:fruitless:intervent:stop,auswegloser
58,know:recommend:ala:simpli:worth:written,bewirken
59,awar:grow:need:balanc:report:discuss:emphasis:equal:represent:urg:support:ppe:amend,diskussionspapier
60,publish:print:work:forest:industri:product:main:content:produc,papier
61,commiss:communic:hodgepodg:lump:willy-nilli:publish:industri:knowledge-bas:content-focus:primari:forestri:industri:product,papierherstellung
62,final:regard:industri:clean:bad:record:pollut:environ:import:inquir:difficulti:monopoli:sector:particular:regard:cartel:recycl:sector,papiersektor
63,libya:countri:lie:exact:heart:mediterranean:state:goe:unment:barcelona,barcelonapapier
64,white:cover:matter:non-discriminatori:levi:infrastructur,weißbuch
65,presid:ladi:gentlemen:clear:cours:strasbourg:part-sess:green:reform:fisheri:polici:tabl:ampl:opportun:discuss:fisheri:polici:general,grünbuch
66,commiss:announc:broad:polici:set:strateg:vision:life:scienc:biotechnolog:readi:end:year,politikpapier
67,commiss:propos:new:measur:product:white:new:chemic:polici:public:consult,weißbuch
68,opinion:green:leav:desir:particular:altern:pvc:kept:pictur,grünbuch
69,report:discuss:especi:perri:report:fail:oppos:guidelin:white:sole:critic:delay:implement,weißbuch
70,presid:conclus:committe:employ:social:affair:page:perri:report:deal:white:electron:equip:tell:appreci:employ:show:greater:willing:older:employe:live:acquir:new:skill:modern:world:offer:day,weißbuch
71,subject:forthcom:commiss:green:corpor:social:respons:doe:commiss:support:view:express:anna:diamantopoulou:address:committe:american:chamber:commerc:octob:voluntari:fail:pressur:regul:grow:abus:basic:right:simpli:wait:voluntari:address,grünbuch
72,success:nice:fact:exist:respons:thing:forward:basi,papier
73,final:presid:critic:commission:wallström:rapporteur:mrs:myller:risk:propos:impact:tiger,papiertiger
74,connect:remind:commiss:white:issu:state:exampl:hope:develop:test:method:minimis:number:anim:use:experi,weißbuch
75,say:dutch:papier:geduldig:wait:proverb:exist:languag,papier
76,true:children:seen:ballot,wahlzettel
77,madam:presid:travel:home:plane:week:got:hold:swedish:busi:dagen:industri:doe:normal:prais:swedish:govern,dagens
78,green:talk:supplementari:retir:provis:intern:market:tri:european:public:believ:major:europ:citizen:present:propos:direct:simpli:reflect:interest:european:financi:sector,grünbuch
79,second:piec:inform:commiss:communic:regard:white:european:govern:shall:follow:consult:polit:group:understand:main:debat:part-sess:octob:part-sess:latest,weißbuch
80,run:smooth:practic:exampl:countri:roma:realli:treat:second-class:citizen:confront:third-world:situat:par:worst:slum:africa:third-world:citi,papier
81,madam:presid:presid:commiss:white:wide:prais:disappoint:prove:import:document:expect:promis,weißbuch
82,quit:right:address:problem:democratis:european:union:today:trace:element:white,weißbuch
83,recal:impos:limit:white:amend:treati,weißbuch
84,itali:franc:establish:limit:recal:draft:law:submit:chamber:deputi:local:communiti:communic:europ:europ:modifi:trans-european:transport:network:specifi:chang:commiss:white:cover:vehicl:transit:alp,weißbuch
85,case:respect:propos:regul:surpris:extrem:laid:white,weißbuch
86,strongest:possibl:term:call:urgent:revis:polici:present:white:chemic:polici,weißbuch
87,schengen:convent:come:forc:entireti:member:state:inequ:affect:person:hold:european:nation:necessari:person:member:famili:live:europ:year,papier
88,white:reform:european:govern,weißbuch
89,item:statement:commiss:white:reform:european:govern,weißbuch
90,question:cours:provid:basi:commiss:white:juli:year:delight:commiss:presid:prodi:discuss:issu:second:today:just:offer:cooper:interinstitut:work:parti,weißbuch
91,european:liber:democrat:reform:parti:welcom:white:reform:european:govern,weißbuch
92,problem:consult:civil:societi:read:white:care:expropri:parliamentari:democrat:elect:bodi,weißbuch
93,new:commiss:white:common:polici:offer:current:estim:cost:road:transport:treat:prioriti:resolut:transport:problem:alpin:region:mean:wide:rang:measur:refer:earlier,weißbuch
94,presid:just:commiss:parliament:chang:method:work:white:council:cours:chang:method:work:light:enlarg:point:present:method:work:present,weißbuch
95,fact:white:colleagu:mrs:palacio:present:intend:clarifi:compet:second:traffic:safer:environment:effect:traffic:kept:check:damag:particular:sensit:area:european:union,weißbuch
96,safeti:remain:prioriti:hope:commiss:recognis:failur:includ:adequ:provis:safeti:green,grünbuch
97,consequ:white:propos:competit:intern:trade:employ:medium-s:busi:previous:suffici:examin:studi:requir,weißbuch
98,consid:commiss:propos:white:good:start:point:give:procedur:goal:target:achiev,weißbuch
99,fear:report:goe:far:fast:respect:doe:white,weißbuch
100,aim:white:right:want:improv:knowledg:chemic:want:safer:world,weißbuch
101,white:present:commiss:propos:new:chemic:strategi,weißbuch
102,issu:piec:legisl:hold:complet:differ:practic,papier
103,read:american:analyst:say:complet:biolog:warfar:programm:run,lese
104,level:european:union:communiti:competit:polici:adopt:far:prevent:restructur:sector:come:aid:sector:medium-term:restructur:polici:compat:polici:set:white:transport:polici:word:develop:multi-mod:transport:polici:reflect:medium:term:real:situat:regard:cost:sector,weißbuch
105,regard:white:european:govern:hesit:vote:favour:report:mrs:kaufmann:use:correct:error:inconsist:commiss:document,weißbuch
106,inconsist:lie:principl:accord:white:titl:page:inspir:author:integr:peopl:europ:scrupul:respect:nation:ident,weißbuch
107,certain:major:hous:thank:rapporteur:shadow:rapporteur:polit:group:particular:bowi:mrs:paulsen:stae:work:right:origin:white,weißbuch
108,debat:europ:futur:spread:confin:white:taken:clear:constitut:tone,weißbuch
109,good:goal:good,papier
110,green:crimin:protect:communiti:financi:interest:european:prosecutor,grünbuch
111,item:commiss:communic:green:crimin:protect:communiti:financi:interest:european:prosecutor,grünbuch
112,precis:question:address:green,grünbuch
113,know:gunpowd:origin:asia:travel:europ,papier
114,presid:tomorrow:parliament:approv:resolut:commiss:green:futur:common:fisheri:polici:draw:futur,grünbuch
115,green:opt:chang:pleas,grünbuch
116,debat:discuss:generat:green:incorpor:commiss:white:consider:council:year,weißbuch
