id,phrase,classes
1,enlarg:achiev:integr:come:threat:unless:creat:concentr:propos:european:liber:democrat:reform:parti,concentrici
2,main:lack:inform:sportsmen:women:report:propos:indic:box:pharmaceut:product:consist:olymp:traffic:light,anello
3,point:fellow:member:know:question:brief:comment:wish:truli:regard:parliament:heavyweight:polit:treat:accord,baricentro
4,need:ask:govern:fail:consist:reject:idea:vaccin:face:mount:call:rural:communiti:want:adopt,circoscritta
5,addit:condemn:terror:hollow:fail:strong:line:incid:terror:commit:israel:potenti:creat:futur:generat:terrorist:region,suona
6,background:statement:respect:rule:law:freedom:democraci:extrem:hollow,svuotate
7,clear:western:balkan:countri:includ:prospect:membership:agre:date:set,concordata
8,question:open:question:commiss:better:better:say:clearer:term:friend:friend:slight:closer,cerchia
9,clear:achiev:friend:know:immigr:come:europ:distant:countri,anello
10,cappato:rhetor:doe:bit:true,suona
11,context:refer:council:document:multilater:hollow,suonano
12,doe:believ:general-interest:servic:treat:way:compani:produc:exampl:plastic:key,portachiavi
13,assum:honour:member:question:motiv:find:potato:rot:seed:potato:wale:question:direct:specif:issu,anulare
14,secretari:general:ask:govern:financi:contribut:second:protect:so-cal:protect:forc,anello
15,presid:prodi:said:aim:enp:creat:friend,cerchia
16,commiss:just:propos:commission:call:friend:benefit:advantag:new:neighbourhood:polici,cerchia
17,awar:long:difficult:fight:want:parti:worst:polici:support:lax:toler:main:benefit:organis:prostitut:garner:huge:financi:profit:facilit:money:launder:oper,rete
18,wish:say:person:basi:paedophil:oper:high:organ:intern:basi:date:european:union:state:cooper:suffici:ensur:respons:organ:intern:basi,pedofilo
19,terribl:tragic:event:belgium:focus:mind:need:protect:children:intern:paedophil:crimin:involv:sex:trade,pedofilo
20,oper:impun:protect:friend:high:place,rete
21,think:disgrac:lack:respect:hous:allow:phone:deliber,squillino
22,bell,suonare
23,report:discoveri:cross-bord:paedophil:recal:horror,pedofilo
24,happi:speak:subject:main:reason:spoke:comment:success:labour:mep:have:remark:have:down:street:way:vote:expung:record,telefonare
25,note:procedur:propos:commiss:financ:decommiss:wast:manag:work:research:reactor:familiar,disattivazione
26,result:ban:phthalat:whatsoev:children:toy:teeth,dentizione
27,need:coordin:maximum:cooper:europol:order:end:traffick:prostitut:deal:women:children:action:crimin:gang:involv:traffick:human:exploit:illicit:employ:prostitut,prostituzione
28,european:council:feira:june:call:council:speed:implement:measur:combat:illeg:provid:conclus:tamper:european:council:octob,clandestina
29,add:text:focus:strengthen:framework:crimin:law:order:fight:organis:facilit,passatore
30,imag:box:gomolka:use:east:german:shipyard:addit:climb:wear:handcuff,pugilistica
31,athen:road:complet:end:bridg:complet,circonvallazione
32,surpris:comment:wound:tone:misunderstood:unfair:answer:subject:paternalist,paternalistica
33,extraordinari:possibl:scientif:medic:progress:seen:light:inher:potenti:sudden:alarm:bell,campanello
34,social:resolut:best:hollow:limit:lifelong:learn:europ:worker:assur:lifelong:job:say:employ:work:life,nullo
35,agre:presid:prodi:said:develop:friend:stretch:russia:morocco:exclud:possibl:acced:union:condit:countri,anello
36,matter:baltic:come:electr:interconnect:right:round:baltic,ring
37,presid:mrs:izquierdo:rojo:tell:said:parodi:certain:true,parodia
38,commiss:explain:countri:western:balkan:romania:bulgaria:turkey:includ,cerchia
39,union:absorb:enlarg:quick:smooth:possibl:issu:face:union:goal:achiev:includ:intergovernment:confer:smooth:function:institut:enlarg:union:lisbon:strategi:new:financi:perspect:complet:enlarg:friend:polici:wider:europ:polici,anello
40,practic:term:mean:work:follow:line:road:map:lisbon:gothenburg:agenda:solidar:countri:region:help:lag:european:citizenship:area:develop:marketplac:polit:area:extern:dimens:model:polici:choic:start:neighbour:countri:build:friend,anello
41,technic:reason:microphon:normal:appear:red:speak:work:session,illumina
42,clear-cut:strategi:hope:conclud:negoti:bulgaria:romania:croatia:start:fast-track:union:regard:turkey:set:timet:point:morn:octob:commiss:report:decemb:decis:frame:refer:copenhagen:right:countri:start:straight:away:suggest:term:friend:say:share,anello
43,key:principl:friend:forg:joint:ownership,cerchia
44,show:succeed:project:valu:hold:dear:intern:arena:extend:prosper:solidar:secur:contin:world,area
45,break:prostitut:direct:worth,valsa
46,member:parliament:probabl:awar:europol:carri:major:investig:week:smash:paedophil:oper:insid:european:union,pedofilo
47,question:ask:europ:provid:effect:respons:need:protect:children:violenc:abduct:paedophil:internet:abus:exploit,pedofilo
48,line:argument:familiar,suona
49,presid:simpli:point:knowledg:bell:did:announc:vote:did,suonato
50,talk:exceed:hollow:parliament:doe:address:exist:treati:violat,risulteranno
51,combin:articl:fact:make:short:text:subdivid:chapter:titl:true:new:motto:europ:digniti:freedom:equal:solidar:citizen:right:justic:unquestion:answer:requir:concis:clariti:concern:expect:fellow:citizen,suonano
52,talk:unit:divers:hollow:especi:non-align:member:state:part:content:report:practic,diversity
53,initi:specifi:includ:traffick:human:wish:insist:includ:smuggl:illeg:immigr:prostitut:sexual:exploit:children,prostituzione
54,fact:assess:report:innov:action:previous:program:period:alarm:bell:budgetari:author,insospettita
55,presid:draft:regul:discuss:provid:implement:top-level:domain:rais:profil:european:union:cyberspac:allow:confid:creat:singl:market:shine:internet,cyberspazio
56,madam:presid:posselt:right:chancellor:schröder:elect:british:prime:minist,chiamare
57,ladi:gentlemen:negoti:near:year:continu:longer:situat:council:lead:parliament:danc:bear:nose:circus:arena,anello
58,lot:said:vaccin:vaccin:prophylact:vaccin:vaccin:emerg:vaccin:conting:vaccin,anello
59,object:combin:sort:polici:continu:deepen:enlarg:creat:friend:european:union,cerchia
